PWS ID,PWS Name,PWS Type,Owner Type
CA1400183,GRAYS MEADOW CAMPGROUND,Transient non-community system,Federal government
CA1400184,HORSESHOE MEADOW CAMPGROUND,Transient non-community system,Federal government
CA1400185,LONE PINE CAMPGROUND,Transient non-community system,Federal government
CA1400186,SAGE FLAT CAMPGROUND,Transient non-community system,Federal government
CA1400191,ROCK CREEK LAKE BOAT DOCK & GROUP CAMP,Transient non-community system,Federal government
CA1400192,ROCK CREEK LAKE CAMPGROUND,Transient non-community system,Federal government
CA1400193,SABRINA CAMPGROUND,Transient non-community system,Federal government
CA1400194,UPPER SAGE FLAT CAMPGROUND,Transient non-community system,Federal government
CA1400195,WHITNEY PORTAL,Transient non-community system,Federal government
CA1400524,BIG TREES CAMPGROUND,Transient non-community system,Federal government
CA1400529,BITTERBRUSH CAMPGROUND,Transient non-community system,Federal government
CA3600601,FOREST LAWN SCOUT RESERVATION,Transient non-community system,Private
CA2300901,ANDERSON VALLEY BREWING COMPANY,Non-Transient non-community system,Private
CA2800105,GROTH VINEYARDS & WINERY,Transient non-community system,Private
CA3910003,"ESCALON, CITY OF",Community water system,Local government
CA4500322,BLACK BUTTE JUNIOR HIGH SCHOOL,Non-Transient non-community system,Local government
CA4500183,BLACK BUTTE ELEMENTARY SCHOOL,Non-Transient non-community system,Local government
CA0300024,TABEAU MOBILE HOME PARK,Community water system,Private
CA2700536,CORRAL DE TIERRA ESTATES WC,Community water system,Private
CA2410302,CDPR-HATFIELD,Transient non-community system,State government
CA0409179,L. C. HUNTING CLUB,Transient non-community system,Private
CA1910066,LEISURE LAKE MOBILE ESTATES,Community water system,Private
CA4901044,TRIPLE S RANCH,Transient non-community system,Private
CA2704520,WILLIAMS - RC FARMS WS,Community water system,Private
CA1000492,TABERNACLE OF PRAISE CHURCH,Transient non-community system,Private
CA3901213,SUNNY ROAD WATER SYSTEM,Community water system,Private
CA1503219,HASSON O S,Transient non-community system,Private
CA4901293,SODA ROCK WINERY,Transient non-community system,Local government
CA4901025,JOHNSON'S BEACH RESORT,Transient non-community system,Private
CA4500302,ANDERSON MOOSE LODGE # 509,Transient non-community system,Private
CA2702140,WOODSIDE WA,Community water system,Private
CA3301055,VILLAGE OF CHILD HELP,Community water system,Private
CA5402050,MILK SPECIALTIES GLOBAL,Non-Transient non-community system,Private
CA4910025,KENWOOD VILLAGE WATER COMPANY (PUC),Community water system,Private
CA4910022,CANON MANOR WATER SYSTEM,Community water system,Private
CA4910003,PENNGROVE WATER COMPANY (PUC),Community water system,Private
CA5800809,LAKE OF THE SPRINGS,Non-Transient non-community system,Private
CA2702148,ASOLEADO MWC,Community water system,Private
CA2702799,RIVER RD WS #34,Transient non-community system,Private
CA3700041,BARRETT LAKE MH AND RV LLC,Community water system,Private
CA1610003,"HANFORD, CITY OF",Community water system,Local government
CA3900637,BIG WHEEL MOBILE HOME PARK,Community water system,Private
CA3900755,SHADY REST TRAILER COURT,Community water system,Private
CA3900814,TWO RIVERS RV PARK,Transient non-community system,Private
CA3900579,CENTURY MOBILE HOME PARK,Community water system,Private
CA0900314,ICE HOUSE RESORT,Transient non-community system,Private
CA3900903,FRANKS ONE/STOP FOOD MART WATER SYS,Transient non-community system,Private
CA3901378,SAN-I-PAK INC,Non-Transient non-community system,Private
CA3901217,HAYNES BOARD & CARE HOME,Community water system,Private
CA3900799,OLDE TOWNE,Transient non-community system,Private
CA3900569,EL RIO MOBILE HOME PARK,Community water system,Private
CA3901402,FAITH COMMUNITY CHURCH OF THE NAZARENE,Transient non-community system,Private
CA3901242,NEW 99 SPEEDWAY WATER SYSTEM,Transient non-community system,Private
CA3901459,JACOBS TERMINOUS MARKET,Transient non-community system,Private
CA3600133,OAK GLEN RETREAT,Transient non-community system,Private
CA3600032,OAK TREE VILLAGE,Transient non-community system,Private
CA3601037,PARRISH RANCH,Transient non-community system,Private
CA4400774,SANTA CRUZ KOA CAMPGROUNDS,Transient non-community system,Private
CA4400662,SANTA CRUZ MOUNTAIN PURE WC,Transient non-community system,Private
CA3901392,"ENVIROPLEX, INC",Non-Transient non-community system,Private
CA3901252,WATERLOO CALIFORNIA RESTAURANT,Transient non-community system,Private
CA1502595,NATIONAL CEMENT CO.-LEBEC PLANT,Non-Transient non-community system,Private
CA5601144,RANCHO SESPE WORKERS IMP ASSOC,Community water system,Private
CA2300878,TESORO 68137,Transient non-community system,Private
CA5510016,"SIERRA PARK WATER COMPANY, INC.",Community water system,Private
CA1210021,JACOBY CREEK CSD,Community water system,Local government
CA1210001,"ARCATA, CITY OF",Community water system,Local government
CA5010300,TURLOCK STATE RECREATION AREA,Transient non-community system,State government
CA2702584,HITCHCOCK RD WS #02,Non-Transient non-community system,Local government
CA2702608,THIMIO MWC,Community water system,Private
CA2000957,WESTERN SIERRA CHARTER SCHOOLS,Transient non-community system,Private
CA1000665,"CABOT PACKING, LLC",Transient non-community system,Private
CA4400645,HIDDEN MEADOW MUTUAL WATER CO,Community water system,Private
CA2300509,ORR SPRINGS RESORT,Transient non-community system,Private
CA1500475,KRISTA MUTUAL WATER COMPANY,Community water system,Private
CA3310800,CALIFORNIA REHABILITATION CENTER - NORCO,Community water system,State government
CA3500557,33RD DISTRICT AGRICULTURAL ASSOCIATION,Transient non-community system,State government
CA3200032,GOLD LAKE LODGE,Transient non-community system,Private
CA2702259,LHOIST NORTH AMERICA WS,Non-Transient non-community system,Private
CA4900850,BODEGA WATER COMPANY,Community water system,Private
CA1000639,CALWEST RAIN - KERMAN,Non-Transient non-community system,Private
CA1000405,PIEDRA PARK ASSOCIATION,Community water system,Private
CA4300851,GARLIC WORLD,Transient non-community system,Private
CA4901090,PRESTON WINERY,Transient non-community system,Private
CA5602115,SAVIERS ROAD MUTUAL WATER CO,Community water system,Private
CA1000571,GRANDE HALL AT THE GARDENS,Transient non-community system,Private
CA3600009,APPLE VALLEY HEIGHTS CWD,Community water system,Local government
CA5601137,RINCON WATER & ROAD WORKS,Community water system,Private
CA5601119,SIETE ROBLES MUTUAL WATER CO,Community water system,Private
CA1503680,SHEPHERD OF THE HILLS - TEHACHAPI,Transient non-community system,Private
CA1300664,RIVERFRONT MUTUAL WATER COMPANY,Community water system,Private
CA1000644,IMMANUEL SPORTS COMPLEX,Transient non-community system,Private
CA1700657,WINDFLOWER POINT MUTUAL WATER COMPANY,Community water system,Private
CA0210002,KIRKWOOD MEADOWS PUBLIC UTILITY DISTRICT,Community water system,Local government
CA3301877,BLOCK 77 WATER COMPANY,Community water system,Private
CA4901290,BODEGA BAY OYSTER COMPANY,Transient non-community system,Private
CA1500525,LAKEVIEW RANCHOS MUTUAL WATER COMPANY,Community water system,Private
CA1502247,DESERT BREEZE MOBILE HOME ESTATES,Community water system,Private
CA5500030,YOSEMITE LAKES CAMPGROUND,Transient non-community system,Private
CA2400318,NEIGHBORHOOD GROCERY,Transient non-community system,Private
CA5010008,"HUGHSON, CITY OF",Community water system,Local government
CA5510026,PHOENIX LAKE ESTATES CC MWC,Community water system,Private
CA1310801,CENTINELA STATE PRISON,Community water system,State government
CA4300578,ANGELO LANE WATER COMPANY,Community water system,Private
CA2800972,NINE SUNS WINERY,Transient non-community system,Private
CA2801046,ST. SUPERY WINERY,Non-Transient non-community system,Private
CA2800010,OUTPOST WINES,Transient non-community system,Private
CA4010001,"ARROYO GRANDE, WATER DEPARTMENT",Community water system,Local government
CA1503336,GOLDEN EMPIRE CONCRETE COMPANY,Non-Transient non-community system,Private
CA4901394,NEVES FAMILY TRUST WATER SYSTEM,Transient non-community system,Local government
CA5401026,DEER MEADOW MUTUAL WATER COMPANY,Community water system,Private
CA2701800,TULARCITOS MWC,Community water system,Private
CA0710300,MOUNT DIABLO STATE PARK,Transient non-community system,State government
CA3901430,VICTORIA ISLAND FARMS,Transient non-community system,Private
CA1910018,BELLFLOWER MUNICIPAL WATER SYSTEM,Community water system,Local government
CA3301161,IDYLLWILD BREW PUB,Transient non-community system,Private
CA1700561,BLUE LAKES IMPROVEMENT CLUB,Community water system,Private
CA3701021,"CALTRANS, BUCKMAN SPRINGS REST AREA",Transient non-community system,State government
CA5301009,LAKEVIEW TERRACE RESORT,Transient non-community system,Private
CA0300112,PAUL J. WINES,Transient non-community system,Private
CA1000345,PANOCHE WATER DISTRICT,Community water system,Local government
CA2000961,TALLEY TRANSPORTATION INC,Non-Transient non-community system,Private
CA4500344,HAVEN HUMANE WATER SYSTEM,Non-Transient non-community system,Private
CA3010053,CITY OF HUNTINGTON BEACH,Community water system,Local government
CA1000564,WONDERFUL PISTACHIOS & ALMONDS-EL DORADO,Non-Transient non-community system,Private
CA5410007,LSID - TONYVILLE,Community water system,Local government
CA5410036,LSID-STRATHMORE SYSTEM,Community water system,Local government
CA2701659,CHAMISAL WA,Non-Transient non-community system,Private
CA3600222,JUNIPER RIVIERA CWD,Community water system,Local government
CA4500256,FRIDAY'S RETREAT,Transient non-community system,Private
CA2400332,DASH DREAM PLANT,Non-Transient non-community system,Private
CA4900669,WENDELL LANE MUTUAL WATER COMPANY,Community water system,Private
CA5400728,GRIER MUTUAL WATER COMPANY,Community water system,Private
CA4100607,HARLEY FARMS GOAT DAIRY,Transient non-community system,Private
CA2800812,MENDING WALL WINERY,Transient non-community system,Private
CA1502670,"FAIRVIEW WATER COMPANY, LLC",Community water system,Private
CA1910159,TRACT 180 MUTUAL WATER CO.,Community water system,Private
CA3200186,UC BERKELEY FORESTRY CAMP,Transient non-community system,State government
CA1200729,ORLEANS C.S.D.,Community water system,Local government
CA1010035,DEL REY COMMUNITY SERV DIST,Community water system,Local government
CA1900055,BLUE SKIES TRAILOR PARK,Community water system,Private
CA4200961,PACIFIC COAST ENERGY COMPANY,Non-Transient non-community system,Private
CA2801024,MUMM OF NAPA VALLEY,Non-Transient non-community system,Private
CA5400816,BEDEL MUTUAL WATER CO,Community water system,Private
CA4500036,COLEMAN NATIONAL FISH HATCHERY,Non-Transient non-community system,Federal government
CA4500215,ANTLERS SHELL / SUBWAY,Transient non-community system,Private
CA2400057,CAL TRANS ERRECA REST AREA,Transient non-community system,State government
CA5000134,DEPARTMENT OF TRANSPORTATION,Transient non-community system,State government
CA2400216,CAL TRANS CHP CHOWCHILLA RIVER FACILITY,Non-Transient non-community system,State government
CA1502229,RIO BRAVO GREELEY SCHOOL WATER SYSTEM,Non-Transient non-community system,Private
CA3900586,B&G MOBILE HOME PARK LLC WS,Community water system,Private
CA3901283,ZAPIEN MARKET,Transient non-community system,Private
CA2710702,FORT HUNTER LIGGETT,Community water system,Federal government
CA1500540,PINON VALLEY WATER COMPANY,Community water system,Local government
CA2400322,SNELLING CHEVRON,Transient non-community system,Private
CA4510006,CITY OF SHASTA LAKE,Community water system,Local government
CA3110003,FORESTHILL PUBLIC UTILITY DIST,Community water system,Local government
CA4901227,KUNDE ESTATE WINERY,Non-Transient non-community system,Private
CA5403046,VISALIA CITRUS PACKING GROUP-ORANGE COVE,Transient non-community system,Private
CA1510027,DESERT LAKE COMM SERV DIST,Community water system,Local government
CA1000447,E&J GALLO WINERY,Non-Transient non-community system,Private
CA2400254,CORTEZ GROWERS ASSO. WATER SYSTEM,Transient non-community system,Private
CA5403151,ARCO AM PM - PIXLEY,Transient non-community system,Private
CA5400710,BADGER HILL ESTATES,Community water system,Private
CA4500081,LAZY LANDING MOBILE HOME PARK,Community water system,Private
CA2210907,MUSD - SIERRA FOOTHILL CHARTER SCHOOL,Non-Transient non-community system,Local government
CA2210908,MUSD -COULTERVILLE - GREELEY HILL SCHOOL,Non-Transient non-community system,Local government
CA2210909,MUSD - MARIPOSA JUNIOR HIGH SCHOOL,Non-Transient non-community system,Local government
CA2210910,MUSD - WOODLAND ELEMENTARY SCHOOL,Non-Transient non-community system,Local government
CA2210911,MUSD- SPRING HILL FACILITY,Transient non-community system,Local government
CA2210917,YOSEMITE RIDGE RESORT,Transient non-community system,Private
CA2400089,HAGAMAN COUNTY PARK,Transient non-community system,Local government
CA2400088,HENDERSON COUNTY PARK,Transient non-community system,Local government
CA2400114,LAKE YOSEMITE COUNTY PARK,Transient non-community system,Local government
CA3610110,ARROWBEAR PARK CWD,Community water system,Local government
CA4000806,VACHELL WATER SYSTEM,Non-Transient non-community system,Private
CA3600158,LYTLE SPRINGS WC,Community water system,Private
CA4901405,HAMEL FAMILY WINES,Transient non-community system,Private
CA2300842,WENTE SCOUT RESERVATION,Transient non-community system,Private
CA2310313,CSP-MENDOCINO WOODLANDS,Transient non-community system,State government
CA3710301,OCOTILLO WELLS SMVRA - HQ,Transient non-community system,State government
CA3710319,OCOTILLO WELLS - HOLMES CAMP,Transient non-community system,State government
CA5510005,TWAIN HARTE COMMUNITY SERVICES DISTRICT,Community water system,Local government
CA4100560,GAZOS CREEK BEACH HOUSE,Transient non-community system,Private
CA2208056,BUCK MEADOWS LODGE-YOSEMITE WESTGATE,Transient non-community system,Private
CA5700778,YOLO CO CENTRAL LANDFILL,Non-Transient non-community system,Private
CA2400219,MERCED NEW LIFE SCHOOL,Non-Transient non-community system,Private
CA1503104,BURTCH CONSTRUCTION,Non-Transient non-community system,Private
CA5500160,YOSEMITE RIVERSIDE INN,Transient non-community system,Private
CA1000177,I-5 AND PANOCHE DEVELOPMENT,Non-Transient non-community system,Private
CA1000178,I-5 AND HWY 198 REST AREA,Non-Transient non-community system,Private
CA5500040,BLUEBELL VALLEY MWC,Community water system,Private
CA3710039,PINE VALLEY MUTUAL WC,Community water system,Private
CA3610018,CUCAMONGA VALLEY WATER DISTRICT,Community water system,Local government
CA3601051,CEMEX - ALABAMA,Non-Transient non-community system,Private
CA1500491,INTERSTATE 5 UILITY COMPANY,Non-Transient non-community system,Private
CA4010011,MORRO BAY PW DEPT - WATER DIVISION,Community water system,Local government
CA3301570,MCCALL PARK - RIV.COUNTY PARKS,Transient non-community system,Local government
CA3301567,LAWLER PARK - RIV.COUNTY PARKS,Transient non-community system,Local government
CA3601122,PRIMM VALLEY GOLF CLUB,Non-Transient non-community system,Private
CA3600157,LUCERNE VISTA MWC,Community water system,Private
CA4010004,GROVER BEACH WATER DEPARTMENT,Community water system,Local government
CA3600510,AMERICAN LEGION POST 751,Transient non-community system,Private
CA1310005,"HOLTVILLE, CITY OF",Community water system,Local government
CA4901248,MATANZAS CREEK WINERY,Non-Transient non-community system,Private
CA4010026,NIPOMO COMM SERVICES DIST,Community water system,Local government
CA5610023,VENTURA WWD NO. 8 - SIMI VALLEY,Community water system,Local government
CA4900584,TIMBER COVE COUNTY WATER DISTRICT,Community water system,Local government
CA4901459,ROBERT YOUNG FAMILY LIMITED PARTNER,Transient non-community system,Private
CA3601181,IVANPAH SOLAR THERMAL POWER PLANT,Non-Transient non-community system,Private
CA3601170,MOLLY BROWN'S COUNTRY CAFE,Transient non-community system,Private
CA4000778,PARSONS WATER SUPPLY,Non-Transient non-community system,Private
CA4000783,SANTA MARIA SPEEDWAY,Transient non-community system,Private
CA4000784,ARROYO GRANDE MUSHROOM FARM,Non-Transient non-community system,Private
CA4000788,HUNTER RANCH GOLF COURSE,Transient non-community system,Private
CA4000790,PASO ROBLES RV RANCH,Transient non-community system,Private
CA4000225,"PHILLIPS 66 COMPANY, SANTA MARIA FACILIT",Non-Transient non-community system,Private
CA4000226,PACIFIC DUNES RANCH,Non-Transient non-community system,Private
CA1500585,OASIS PROPERTY OWNERS ASSOCIATION,Community water system,Private
CA1510028,MIL POTRERO MWC,Community water system,Private
CA3601162,VFW POST 5551,Transient non-community system,Private
CA4000702,SUNSET DRIVE-IN SNACK BAR,Transient non-community system,Private
CA1000258,DRIFTWOOD MOBILEHOME PARK,Transient non-community system,Private
CA1500542,WILLOW SPRINGS MOBILE HOME PARK,Community water system,Private
CA5602512,BOUQUET MULTIMEDIA,Transient non-community system,Private
CA1000229,GREEN ACRES MOBILE HOME ESTATE,Community water system,Private
CA5400504,PORTERVILLE MOBILE VILLAGE,Community water system,Private
CA5400523,EL MONTE VILLAGE MHP,Community water system,Private
CA4901447,DONUM ESTATE WATER SYSTEM,Transient non-community system,Private
CA5401049,CAMP WILDERNESS,Transient non-community system,Local government
CA4500071,PELORIA DIGGER BAY LLC,Transient non-community system,Private
CA4901250,SONOMA WEST HOLDINGS INDUSTRIAL PARK,Non-Transient non-community system,Private
CA4900859,SONOMA WEST HOLDINGS NORTH PLANT,Non-Transient non-community system,Private
CA5400541,PORTERVILLE CITRUS RAYO,Non-Transient non-community system,Private
CA3500830,FALLON ROAD LABOR HOUSING,Community water system,Private
CA4500094,RIVERLAND MOBILEHOME PARK,Community water system,Private
CA4500104,SUNRISE MOBILEHOME PARK,Community water system,Private
CA5700785,SEMINIS VEGETABLE SEED,Non-Transient non-community system,Private
CA5700787,FARMER'S MARKET,Transient non-community system,Private
CA5700827,PIONEER HI-BRED INTERNATIONAL,Non-Transient non-community system,Private
CA5700828,PAMUNKEY VINEYARDS,Transient non-community system,Private
CA4700627,JUNIPER CREEK ESTATES,Community water system,Private
CA5210005,RIO ALTO WATER DISTRICT,Community water system,Local government
CA1200590,MOONSTONE HEIGHTS MWA,Community water system,Private
CA3205011,BUCKS LAKE MARINA,Transient non-community system,Private
CA4000598,CUYAMA LANE WATER COMPANY,Non-Transient non-community system,Private
CA2300708,RIDGEWOOD WATER SYSTEM,Community water system,Private
CA2300788,WHITE DEER LODGE WATER SYSTEM,Transient non-community system,Private
CA4901231,ARROWOOD VINEYARDS & WINERY,Transient non-community system,Private
CA4810034,GILL SIDHU CHEVRON,Transient non-community system,Private
CA4800732,DIXON 76,Transient non-community system,Private
CA3705051,SUTHERLAND RESERVOIR RECREATION AREA,Transient non-community system,Local government
CA3705059,SET FREE MINISTRIES,Transient non-community system,Private
CA1000586,SJRP COKE HALLOWELL CENTER,Transient non-community system,Public/Private
CA4901274,NICHOLSON RANCH WINERY,Transient non-community system,Private
CA1700736,CACHE CREEK VINEYARDS,Transient non-community system,Private
CA1503679,CUYAMA ORCHARDS INC,Transient non-community system,Private
CA5410009,PIXLEY PUBLIC UTIL DIST,Community water system,Local government
CA5403121,INTERNATIONAL PAPER - EXETER BULK,Non-Transient non-community system,Private
CA5400536,KINGS RIVER ESTATES MUTUAL WATER COMPANY,Community water system,Private
CA5401048,KINGS RIVER GOLF COURSE,Transient non-community system,Private
CA5400624,KINGS RIVER ELEMENTARY SCHOOL,Non-Transient non-community system,Local government
CA4210030,CENTRAL COAST WATER AUTHORITY,Community water system,Local government
CA2400128,COUNTRY CLUB COUNTY WD,Community water system,Private
CA2702681,HARTNELL RD WS #1,Non-Transient non-community system,Private
CA5400898,MONTECITO LAKE RESORT,Transient non-community system,Private
CA5400552,STONY CREEK LODGE,Transient non-community system,Private
CA5401010,BSA-CAMP WHITSETT,Transient non-community system,Local government
CA5400792,WOODVILLE FARM LABOR CENTER,Community water system,Private
CA5400631,LINNELL FARM LABOR CENTER,Community water system,Private
CA5400679,99 PALMS INN AND SUITES,Transient non-community system,Private
CA5403150,HARI'S MARKET,Transient non-community system,Private
CA4901300,WINDY HILL WINERY,Transient non-community system,Private
CA5102032,DWR-SUTTER MAINTENANCE YARD,Non-Transient non-community system,State government
CA5402056,PEOPLE'S FOOD AND DELI INC.,Transient non-community system,Private
CA5402038,PATTERSON TRACT CSD,Community water system,Private
CA2400175,THE MORNING STAR PACKING COMPANY,Non-Transient non-community system,Private
CA2400051,LIBERTY PACKING COMPANY LLC,Non-Transient non-community system,Private
CA4901327,GOLD RIDGE PINOT DBA EMERITUS VINEYARDS,Transient non-community system,Private
CA4600012,ALLEGHANY COUNTY W.D.,Community water system,Local government
CA5400769,FOOTHILL APARTMENTS,Community water system,Private
CA5400917,SHOP N GO,Transient non-community system,Private
CA4300949,MT. HAMILTON GRANDVIEW RESTAURANT,Transient non-community system,Private
CA3301031,BANNING HTS. MUTUAL WATER CO.,Community water system,Private
CA2400028,MERCED RIVER RESORT,Transient non-community system,Private
CA1500517,STOCO MUTUAL WATER COMPANY,Non-Transient non-community system,Private
CA1502217,BETHEL IN THE HILLS - PCG CAMP,Transient non-community system,Private
CA1502154,LAKESIDE SCHOOL,Non-Transient non-community system,Local government
CA3200024,LITTLE BEAR RV PARK,Transient non-community system,Private
CA1910143,"SAN FERNANDO-CITY, WATER DEPT.",Community water system,Local government
CA2203023,WHITE CHIEF MOUNTAIN LODGE,Transient non-community system,Private
CA1000013,LOWER DEER CREEK TRACT,Transient non-community system,Private
CA5010040,SOUTH SAN JOAQUIN IRRIGATION DISTRICT,Community water system,Local government
CA5602109,GLENVIEW MOBILE PARK,Community water system,Private
CA1010339,CALIFORNIA STATE UNIVERSITY FRESNO,Community water system,State government
CA1010044,"HURON, CITY OF",Community water system,Local government
CA4910016,"COTATI, CITY OF",Community water system,Local government
CA4901413,EIGHTH STREET EAST PARTNERS,Transient non-community system,Private
CA4901329,PEPPERWOOD ENVIRONMENTAL CENTER,Transient non-community system,Local government
CA2801032,ROBERT KEENAN WINERY,Transient non-community system,Private
CA2800015,SOMERSTON WINERY,Non-Transient non-community system,Private
CA2800013,LUNA VINEYARDS,Transient non-community system,Private
CA3200134,BLAIRSDEN WATER USERS ASSN,Community water system,Local government
CA0105013,EBRPD - REDWOOD SPRING REGIONAL PARK,Transient non-community system,Local government
CA0708000,EBRPD BAY POINT REGIONAL SHORELINE,Transient non-community system,Local government
CA5700784,GRACE VALLEY CHRISTIAN CENTER,Non-Transient non-community system,Private
CA4300605,GILROY USD-RUCKER SCHOOL,Non-Transient non-community system,Local government
CA3100062,INDIAN CREEK GOLF COURSE,Transient non-community system,Private
CA3107310,VETERINARY DEVELOPMENT COMPANY,Non-Transient non-community system,Private
CA1900976,THE OAKS,Community water system,Private
CA3100011,AUBURN VALLEY COMMUNITY SERVICE DIS,Community water system,Private
CA5800888,SEVEN MILE HOUSE,Transient non-community system,Private
CA5200556,MAYWOOD MOBILE HOME PARK,Community water system,Private
CA5200338,JEHOVAH'S WITNESSES -CORNING,Transient non-community system,Private
CA5800884,YOUNGLIFE WOODLEAF,Transient non-community system,Private
CA3900998,OASIS MARINA-RESORT,Transient non-community system,Private
CA3400302,RANCHO SECO PARK,Transient non-community system,Public/Private
CA3400232,RANCHO SECO NGS (SMUD),Non-Transient non-community system,Public/Private
CA3400374,DUCK ISLAND RV PARK,Transient non-community system,Private
CA3400334,COURTLAND BOARDWALK,Transient non-community system,Private
CA3400119,EDDO'S HARBOR & R V PARK,Transient non-community system,Private
CA3400391,BRADSHAW CHRISTIAN SCHOOL,Non-Transient non-community system,Private
CA3400268,WALNUT GROVE ELEMENTARY SCHOOL,Non-Transient non-community system,Local government
CA0202504,MARKLEEVILLE WATER CO.,Community water system,Private
CA4901357,COVIN WATER SYSTEM,Transient non-community system,Private
CA2710018,SEASIDE MUNICIPAL WATER SYSTEM,Community water system,Local government
CA5000454,PURINA MILLS INC,Non-Transient non-community system,Private
CA5000273,GRATTON SCHOOL,Non-Transient non-community system,Local government
CA5000408,WESTLEY CSD,Community water system,Local government
CA0706054,BETHEL MARKET,Transient non-community system,Private
CA0707509,DELTA BAR AND GRILL,Transient non-community system,Private
CA2600545,WOODS LODGE,Transient non-community system,Private
CA5000584,MESA ELEMENTARY SCHOOL,Non-Transient non-community system,Local government
CA0707570,BRIDGEHEAD CAFE,Transient non-community system,Private
CA0707521,BYRON CORNERS INC,Transient non-community system,Private
CA5000290,SMART STOP FOOD MART (EH),Transient non-community system,Private
CA0707608,MARINA MOBILE MANOR,Community water system,Private
CA2000195,HIDDEN VIEW  HENSLEY LAKE,Transient non-community system,Federal government
CA2000749,BUCK RIDGE HENSLEY LAKE,Transient non-community system,Federal government
CA1502622,GOSFORD ROAD WATER COMPANY,Community water system,Private
CA4300993,Z BEST PRODUCTS,Non-Transient non-community system,Private
CA0202505,PACIFIC VALLEY CAMPGROUND,Transient non-community system,Federal government
CA0202523,BLOOMFIELD CG #1,Transient non-community system,Federal government
CA0202524,HIGHLAND LKS #1,Transient non-community system,Federal government
CA0202525,HIGHLAND LAKES #2,Transient non-community system,Federal government
CA0202562,SAND FLAT # 1,Transient non-community system,Federal government
CA0202563,SAND FLAT # 2,Transient non-community system,Federal government
CA4410014,SAN LORENZO VALLEY WATER DIST,Community water system,Local government
CA0901217,BEAR STATE WATER WORKS,Community water system,Private
CA0202564,SAND FLAT # 3,Transient non-community system,Federal government
CA0202565,SAND FLAT # 4,Transient non-community system,Federal government
CA0202566,SAND FLAT # 5,Transient non-community system,Federal government
CA0202509,LAKE ALPINE IMPROVEMENT ASSOCIATION,Transient non-community system,Private
CA0202517,LAKE ALPINE REC. AREA,Transient non-community system,Private
CA3400204,7042 FOLSOM LLC WATER SYSTEM,Transient non-community system,Private
CA3400429,ADESA OF SACRAMENTO,Non-Transient non-community system,Private
CA3400382,BRADSHAW RANCH GOLF COURSE INC,Transient non-community system,Private
CA3400410,SHELDON TRADING POST,Transient non-community system,Private
CA3400201,COUNTRYSIDE DRIVE-IN,Transient non-community system,Private
CA3400453,"MATSUDA'S BY GREEN ACRES, LLC",Non-Transient non-community system,Private
CA3400273,WILTON BIBLE CHURCH,Non-Transient non-community system,Private
CA3410035,LIGHTHOUSE MARINA RESTAURANT & RESORT,Transient non-community system,Private
CA3400336,BROOKSIDE EQUESTRIAN PARK,Transient non-community system,Private
CA3400383,BUILDING TRADES ASSOC,Transient non-community system,Private
CA3400396,TEAL BEND GOLF COURSE,Transient non-community system,Private
CA0202503,WOODFORDS MUTUAL WATER COMPANY,Community water system,Private
CA3400457,FLYING V STATION,Transient non-community system,Private
CA3901336,WESTERN PALLET SUPPLY & LOGISTICS,Non-Transient non-community system,Private
CA5000547,KEYES 76 (WATER SYSTEM),Transient non-community system,Private
CA0706059,GAS N SAVE,Transient non-community system,Private
CA2600552,GRANT LAKE MARINA,Transient non-community system,Private
CA5000538,MODESTO CHRISTIAN CENTER (WATERSYSTEM),Transient non-community system,Private
CA0707550,SUNSET HARBOR,Transient non-community system,Private
CA2600553,ROCK CREEK LODGE,Transient non-community system,Private
CA5000274,PARADISE SCHOOL,Non-Transient non-community system,Local government
CA5000590,CEBRO FROZEN FOODS (EH),Non-Transient non-community system,Private
CA5000529,SUNRISE ROCK & REDI-MIX,Non-Transient non-community system,Private
CA5000263,OASIS INVESTMENTS,Community water system,Private
CA0707595,BYRON INN,Transient non-community system,Private
CA0900650,ECHO LAKE CAMP,Transient non-community system,Local government
CA0706045,WAHL FAMILY WATER SYSTEM,Transient non-community system,Private
CA2100580,DIEKMANN'S GENERAL STORE,Transient non-community system,Private
CA3310076,WESTERN MWD (ID A - RAINBOW),Community water system,Local government
CA3310049,WESTERN MWD,Community water system,Local government
CA1000600,CANYON FEED & SUPPLY,Transient non-community system,Private
CA1000175,CASACA VINEYARDS,Non-Transient non-community system,Private
CA1504008,DELANO FARMS,Non-Transient non-community system,Private
CA3400406,I B E W TRAINING CENTER,Transient non-community system,Private
CA3901370,JIMMYS ONE STOP,Transient non-community system,Private
CA3400416,PAPE MACHINERY,Transient non-community system,Private
CA0202548,CAMP PEACEFUL PINES,Transient non-community system,Private
CA3400377,PARK DELTA BAY,Transient non-community system,Private
CA3400181,LAGUNA DEL SOL INC,Community water system,Private
CA3400393,NORTH RIDGE COUNTRY CLUB,Transient non-community system,Private
CA4700630,SHASTA VIEW HEIGHTS OWNERS ASSOCIATION,Community water system,Private
CA4910006,"PETALUMA, CITY OF",Community water system,Local government
CA5105014,HOLT 7518,Non-Transient non-community system,Private
CA5100153,HOLT OF CALIFORNIA,Non-Transient non-community system,Private
CA5400896,FAR HORIZONS CAMP,Transient non-community system,Private
CA5403141,HELLWIG PRODUCTS CO INC,Non-Transient non-community system,Private
CA4901095,WESTMINSTER WOODS CAMP,Non-Transient non-community system,Private
CA4300614,SVEADAL WATER SYSTEM,Transient non-community system,Private
