PWS ID,PWS Type,PWS Name,Owner Type
CA3110019,Community water system,SQUAW VALLEY MWC,Private
CA4300575,Community water system,"TWIN VALLEY, INC.",Private
CA1000590,Transient non-community system,FCOE SCOUT ISLAND,Local government
CA1000591,Transient non-community system,SUMNER PECK RANCH WINERY & FRUIT STAND,Private
CA4901381,Community water system,LICHAU HYLANDS MUTUAL WATER COMPANY,Local government
CA1910066,Community water system,LEISURE LAKE MOBILE ESTATES,Private
CA4901382,Non-Transient non-community system,CHILDKIND LAGUNA PRESCHOOL,Private
CA4600003,Transient non-community system,TREASURE MOUNTAIN CAMP,Private
CA4901368,Non-Transient non-community system,SONOMA WINE COMPANY,Private
CA3200107,Community water system,GRIZZLY LAKE CSD-CROCKER/WELCH,Private
CA5810006,Community water system,NORTH YUBA WATER DISTRICT,Local government
CA4300770,Community water system,THREE SPRINGS RANCH MUTUAL WATER COMPANY,Private
CA1502012,Non-Transient non-community system,HECK CELLARS WATER SYSTEM,Private
CA3710312,Transient non-community system,CUYAMACA SP - GREEN VALLEY,State government
CA3710311,Transient non-community system,CUYAMACA SP - PASO PICACHO,State government
CA3010094,Community water system,TRABUCO CANYON WATER DISTRICT,Local government
CA5205007,Non-Transient non-community system,RANCHO TEHAMA ELEM SCHOOL,Local government
CA5205008,Non-Transient non-community system,RIVERMILL LLC.,Private
CA5200006,Non-Transient non-community system,WAL*MART DIST. CTR/ECO RES,Private
CA3400379,Transient non-community system,SILVA'S SHELDON INN,Private
CA3400380,Transient non-community system,BERT'S DINER,Private
CA3410001,Community water system,SACRAMENTO SUBURBAN WATER DISTRICT,Local government
CA4700863,Transient non-community system,MT. SHASTA SKI PARK,Private
CA1900721,Community water system,LOCUST GROVE MOBILE HOME PARK,Private
CA1900158,Community water system,LITTLE BALDY,Private
CA3910007,Community water system,"RIPON, CITY OF",Local government
CA1000520,Transient non-community system,"JOSAN AND JOSAN, INC.",Private
CA1503482,Community water system,RIO MESA MUTUAL WATER COMPANY,Private
CA4901195,Community water system,MOORLAND AVENUE APARTMENTS,Private
CA4900669,Community water system,WENDELL WATER COMPANY (PUC),Private
CA1100436,Community water system,T&J MOBILEHOME PARK,Private
CA1310700,Community water system,NAF EL CENTRO,Federal government
CA1900649,Community water system,GOLDEN SANDS MOBILE HOME PARK,Private
CA1400010,Community water system,"ROLLING GREEN UTILITIES, INC.",Private
CA4901025,Transient non-community system,JOHNSON'S BEACH RESORT,Private
CA1910167,Community water system,"VERNON-CITY, WATER DEPT.",Local government
CA3500510,Community water system,MCMAHON ROAD MUTUAL WATER COMPANY,Private
CA0605007,Non-Transient non-community system,SUN VALLEY RICE COMPANY,Private
CA1200637,Transient non-community system,DEAN CREEK RESORT,Private
CA1000051,Transient non-community system,HUNTINGTON PINES MUTUAL COMPANY,Private
CA3610032,Community water system,"NEEDLES, CITY OF",Local government
CA1000369,Community water system,ZONNEVELD DAIRY,Private
CA2300863,Non-Transient non-community system,EEL RIVER CHARTER SCHOOL,Local government
CA4210009,Community water system,CUYAMA COMMUNITY SERVICES DISTRICT,Local government
CA1000308,Transient non-community system,MONO HOT SPRINGS RESORT,Private
CA3610033,Community water system,MT BALDY HOMEOWNERS ASSN.,Private
CA2810012,Community water system,PACIFIC UNION COLLEGE,Private
CA1500544,Community water system,ENOS LANE PUBLIC UTILITY DISTRICT,Private
CA1610005,Community water system,"LEMOORE, CITY OF",Local government
CA1000482,Transient non-community system,WOLF LAKES PARK,Private
CA5601605,Transient non-community system,PINE MOUNTAIN INN WATER SYSTEM,Private
CA1500600,Non-Transient non-community system,J.G. BOSWELL COMPANY WATER SYSTEM,Private
CA4900737,Transient non-community system,KOA - PETALUMA,Private
CA1900155,Community water system,WILSONA GARDENS MUTUAL,Private
CA2300872,Transient non-community system,DICK S PLACE,Private
CA1910148,Community water system,"SIERRA MADRE-CITY, WATER DEPT.",Local government
CA3500549,Community water system,ROSA MORADA MUTUAL WATER COMPANY,Private
CA1810002,Community water system,WESTWOOD C.S.D.,Local government
CA4901277,Non-Transient non-community system,BUCHER WATER COMPANY,Private
CA1210018,Community water system,"TRINIDAD, CITY OF",Local government
CA1200705,Transient non-community system,EMERALD FOREST,Private
CA2300746,Transient non-community system,HILL HOUSE L.L.C.,Private
CA1900045,Transient non-community system,1000 TRAILS / SOLEDAD CYN PRESERVE,Private
CA2201070,Transient non-community system,MARIPOSA DISTRICT FAIRGROUND,Local government
CA4901018,Non-Transient non-community system,GUNDLACH BUNDSCHU WINERY,Private
CA1502763,Non-Transient non-community system,"CLEAN HARBORS BUTTONWILLOW, LLC.",Private
CA4300563,Community water system,MT. PLEASANT WATER USERS ASSOCIATION,Private
CA1503194,Non-Transient non-community system,PARADISE WATER SYSTEM,Private
CA1700581,Community water system,CACHE CREEK MOBILE HOME PARK,Private
CA4900925,Non-Transient non-community system,SEBASTIANI VINEYARDS,Private
CA4900508,Community water system,"CAZADERO WATER COMPANY, INC.",Private
CA1503360,Non-Transient non-community system,DIAMOND JIM S CASINO,Private
CA5610006,Community water system,YERBA BUENA WATER COMPANY,Private
CA4800753,Community water system,VINEYARD RV PARK,Private
CA4900745,Transient non-community system,RIVER BEND RESORT,Private
CA4800755,Transient non-community system,MIDWAY RV PARK,Private
CA1000540,Transient non-community system,KOSH PETROLEUM,Private
CA1200779,Non-Transient non-community system,REDWOOD MEMORIAL HOSPITAL,Private
CA3610024,Community water system,HESPERIA WD,Local government
CA5610056,Community water system,VINEYARD AVE ESTATES MWC,Private
CA4710012,Community water system,HAPPY CAMP C.S.D.,Local government
CA1000442,Transient non-community system,CHERRY AUCTION,Private
CA4901331,Transient non-community system,HAWKES WINERY,Private
CA1900864,Transient non-community system,NEWCOMB'S RANCH INN,Private
CA1900942,Community water system,ALPINE SPRINGS MOBILE HOME PARK,Private
CA1010019,Community water system,"KINGSBURG, CITY OF",Local government
CA1910063,Community water system,LINCOLN AVENUE WATER CO.,Private
CA4900561,Community water system,WILLOWSIDE MUTUAL WATER COMPANY,Private
CA5200503,Community water system,MINERAL COUNTY WATER DISTRICT,Private
CA5301009,Transient non-community system,LAKEVIEW TERRACE RESORT,Private
CA4901307,Transient non-community system,WASHOE CREEK GOLF COURSE,Private
CA2100586,Transient non-community system,DEVIL'S GULCH RANCH WATER SYSTEM,Private
CA2702503,Transient non-community system,CARMEL VALLEY TENNIS CAMP WS,Private
CA4010007,Community water system,PASO ROBLES WATER DEPARTMENT,Local government
CA0105003,Non-Transient non-community system,CEMEX/ELIOT PLANT,Private
CA4300603,Community water system,OAK DELL PARK,Private
CA1900929,Non-Transient non-community system,MIRA LOMA HIGH DESERT HOSPITAL,Local government
CA2300785,Non-Transient non-community system,LEGGETT VALLEY SCHOOL,Local government
CA1310004,Community water system,"EL CENTRO, CITY OF",Local government
CA4901063,Transient non-community system,CAMPOBELLO,Private
CA4700569,Non-Transient non-community system,WILLOW CREEK SCHOOL,Local government
CA5400718,Community water system,WILLIAMS MUTUAL  WATER CO,Private
CA5400722,Transient non-community system,SUGARLOAF MUTUAL WATER CO,Private
CA5400735,Community water system,RODRIGUEZ LABOR CAMP,Private
CA5400751,Transient non-community system,THREE RIVERS HIDEAWAY,Private
CA5400754,Community water system,SO KAWEAH MUTUAL WATER CO,Private
CA3400381,Transient non-community system,PITTS STOP RESTAURANT,Private
CA3400382,Transient non-community system,BRADSHAW RANCH GOLF COURSE INC,Private
CA4800780,Transient non-community system,DIXON FRUIT MARKET,Private
CA3910008,Community water system,LOCKEFORD COMMUNITY SERV. DIST.,Local government
CA4210900,Transient non-community system,CAL TRANS - GAVIOTA RSR,State government
CA1700657,Community water system,WINDFLOWER POINT MUTUAL WATER COMPANY,Private
CA3710013,Community water system,LAKESIDE WD,Private
CA2300653,Transient non-community system,LIGHT HOUSE POINTE,Private
CA4700501,Transient non-community system,LAKE SISKIYOU CAMPGROUND,Private
CA1000181,Non-Transient non-community system,ALVINA SCHOOL,Private
CA2500511,Transient non-community system,UNION PACIFIC RR-LIKELY,Private
CA4300792,Community water system,ABORN HEIGHTS WATER MUTUAL ASSOCIATION,Private
CA1000238,Community water system,CAMDEN TRAILER PARK,Private
CA5601141,Community water system,SOUTH MOUNTAIN MUTUAL WATER CO,Private
CA5010039,Community water system,WESTERN HILLS WATER DISTRICT/DIABLO GRAN,Local government
CA1900523,Community water system,WHITE FENCE FARMS MWC NO.3,Private
CA3210001,Community water system,IVCSD-GREENVILLE,Local government
CA3200510,Community water system,IVCSD CRESCENT MILLS,Local government
CA3500509,Community water system,TRES PINOS CWD,Local government
CA3500576,Community water system,AROMAS HILLS MUTUAL WATER ASSOCIATION,Private
CA3500801,Non-Transient non-community system,WILLOW GROVE UNION ELEMENTARY SCHOOL,Local government
CA1510001,Community water system,ARVIN COMMUNITY SERVICES DIST,Local government
CA1510004,Community water system,"CASA LOMA WATER CO, INC.",Private
CA1510013,Community water system,"MCFARLAND, CITY OF",Local government
CA3500805,Non-Transient non-community system,TRI-CAL INCORPORATED,Private
CA1500424,Community water system,LANDS OF PROMISE MUTUAL WATER ASSOCIATIO,Private
CA3500912,Community water system,COMSTOCK MUTUAL WATER COMPANY,Private
CA1500211,Community water system,STOCKDALE ANNEX MUTUAL WATER,Private
CA1502695,Transient non-community system,BUTTERMILK ACRES WATER SYSTEM,Private
CA0310018,Community water system,FIRST MACE MEADOWS UNIT NO. 2,Private
CA2300831,Transient non-community system,HIDDEN PINES CAMPGROUND,Private
CA1510019,Community water system,"SHAFTER, CITY OF",Local government
CA2310010,Community water system,HOPLAND PUBLIC UTILITY DISTRICT,Local government
CA2310005,Community water system,WILLOW COUNTY WATER DISTRICT,Local government
CA2300507,Community water system,CALPELLA COUNTY WATER DISTRICT,Local government
CA2300605,Community water system,RIVER ESTATES MUTUAL WATER COMPANY,Private
CA0600003,Transient non-community system,GRIMES BOAT AND LANDING,Private
CA5601117,Community water system,SENIOR CANYON MUTUAL WATER CO,Private
CA3710023,Community water system,SANTA FE I.D.,Local government
CA4210017,Community water system,VANDENBERG VILLAGE COMM. SERV. DIST.,Local government
CA4310004,Community water system,CITY OF GILROY,Local government
CA3500577,Community water system,COLE RD MWC,Private
CA1907004,Transient non-community system,ACTON-AGUA DULCE LDS CHURCH,Private
CA2310013,Community water system,POINT ARENA WATER WORKS,Private
CA1000525,Transient non-community system,SIERRA ENDANGERED CAT HAVEN,Private
CA0710001,Community water system,CITY OF ANTIOCH,Local government
CA1900304,Transient non-community system,DEL SUR GARDENS TRAILER PARK,Private
CA3610009,Community water system,BIGHORN - DESERT VIEW WATER AGENCY,Local government
CA3610016,Community water system,GLEN MARTIN MWC,Private
CA1000054,Community water system,LAS DELTAS MUTUAL WATER SYSTEM,Private
CA1000192,Non-Transient non-community system,MONROE SCHOOL,Private
CA1000194,Non-Transient non-community system,PACIFIC UNION ELEMENTARY SCHOOL,Local government
CA1000472,Community water system,PG&E HELMS SUPPORT FACILITY,Private
CA1009256,Transient non-community system,PG&E HELMS HQ/POWERHOUSE,Private
CA5400505,Transient non-community system,HARTLAND CHRISTIAN CAMP,Private
CA5400894,Transient non-community system,CAMP SAN JOAQUIN,Private
CA5400795,Non-Transient non-community system,WAUKENA ELEMENTARY SCHOOL,Local government
CA5400810,Transient non-community system,AKAL TRAVEL PLAZA,Private
CA2901551,Transient non-community system,JOE MILLER RECREATIONAL AREA,Federal government
CA2901934,Transient non-community system,ANANDA RETREAT CENTER,Private
CA2902392,Transient non-community system,PENN VALLEY SHELL,Private
CA2903174,Transient non-community system,DARK HORSE GOLF CLUB WATER SYSTEM,Private
CA3107329,Non-Transient non-community system,ANTELOPE OAKS WATER SYSTEM,Private
CA3100008,Transient non-community system,CISCO GAS & FOOD,Private
CA3100011,Community water system,AUBURN VALLEY COMMUNITY SERVICE DIS,Private
CA3100014,Community water system,BAKER RANCH WATER COMPANY,Private
CA4300526,Community water system,OAKMONT WATER SYSTEM,Private
CA4900922,Transient non-community system,SMOTHER'S WATER SYSTEM,Private
CA1910032,Community water system,FOOTHILL MUNICIPAL WATER DIST.,Local government
CA0800825,Community water system,JED SMITH HOMEOWNERS ASSN.,Private
CA5710001,Community water system,CITY OF DAVIS,Local government
CA1210012,Community water system,"RIO DELL, CITY OF",Local government
CA0600056,Transient non-community system,MENF-LETTS LAKE CG,Federal government
CA3610029,Community water system,MONTE VISTA CWD,Local government
CA1500588,Community water system,SON SHINE PROPERTIES,Private
CA2910001,Community water system,CITY OF GRASS VALLEY,Local government
CA1000468,Non-Transient non-community system,CARUTHERS RAISIN PACKING CO,Private
CA4901027,Transient non-community system,CINNABAR THEATER,Private
CA1900868,Community water system,RIVERS END TRAILER PARK,Private
CA4900796,Community water system,SANTA ROSA MOBILE ESTATES,Private
CA4300545,Community water system,SARATOGA HEIGHTS MUTUAL WATER COMPANY,Private
CA4901118,Non-Transient non-community system,"ANDY'S PRODUCE MARKET, INC.",Private
CA5000433,Community water system,OID-OAKDALE RURAL WATER SYSTEM #1,Local government
CA2300502,Community water system,ALBION MUTUAL WATER COMPANY,Private
CA4900893,Community water system,WEST WATER COMPANY (PUC),Private
CA4901098,Transient non-community system,THUNDERBIRD RANCH,Private
CA1900599,Community water system,VALHALLA WATER ASSOCIATION,Private
CA4900711,Non-Transient non-community system,GRAVENSTEIN SCHOOL DISTRICT-HILLCREST,Local government
CA4900708,Non-Transient non-community system,GRAVENSTEIN SCHOOL DISTRICT-GRAVENSTEIN,Local government
CA3710002,Community water system,VALLECITOS WD,Local government
CA1910102,Community water system,PALMDALE WATER DIST.,Local government
CA3610044,Community water system,DWP - BIG BEAR LAKE/MOONRIDGE,Local government
CA3610022,Community water system,DWP - FAWNSKIN,Local government
CA3610061,Community water system,DWP - SUGARLOAF/ERWIN LAKE,Local government
CA4901251,Non-Transient non-community system,SAFARI WEST,Private
CA1805006,Transient non-community system,DAYS END RV PARK,Private
CA1910130,Community water system,QUARTZ HILL WATER DIST.,Local government
CA1700564,Transient non-community system,INDIAN VALLEY WATER SYSTEM - YOLO COUNTY,Private
CA1910009,Community water system,VALLEY COUNTY WATER DIST.,Local government
CA1200701,Community water system,ORICK C.S.D.,Local government
CA1900820,Transient non-community system,LANG RANCH SHOPPING CENTER,Private
CA5700541,Transient non-community system,DAVIS GOLF COURSE,Private
CA5400553,Community water system,TRAVER WATER LLC,Private
CA1100404,Community water system,BLACK BUTTE WATER CO.,Private
CA4900909,Non-Transient non-community system,CARNEROS DELI,Private
CA1900699,Transient non-community system,MILLARD CANYON IMPROVEMENT ASSN,Private
CA0410007,Community water system,PARADISE IRRIGATION DISTRICT,Local government
CA0600033,Transient non-community system,WILLOW CREEK M.W.C.-LAMBERTVILLE,Private
CA1009023,Community water system,BRITZ/COLUSA,Private
CA1009179,Community water system,BRITZ/FIVE POINT SYSTEM,Private
CA5000211,Non-Transient non-community system,RIVERBANK LRA,Federal government
CA2210928,Transient non-community system,REDWOODS 70'S WATER SYSTEM,Private
CA1000562,Non-Transient non-community system,SOUTHWEST TRANSPORTATION AGENCY,Private
CA1000573,Transient non-community system,MOUNTAIN VALLEY COMMUNITY CHURCH,Private
CA1000576,Non-Transient non-community system,LONE STAR DEHYDRATOR,Private
CA1100232,Non-Transient non-community system,JOHNS MANVILLE,Private
CA3710802,Community water system,LA CIMA FIRE CENTER,State government
CA1000299,Community water system,THREE PALMS MOBILEHOME PARK,Private
CA4900644,Community water system,BRIDGEHAVEN PARK,Private
CA3610031,Community water system,MUSCOY MWC NO. 1,Private
CA2110011,Non-Transient non-community system,U.S. COAST GUARD - PT. REYES,Federal government
CA4901295,Transient non-community system,DEERFIELD RANCH WINERY LLC,Private
CA0510009,Community water system,BLUE LAKE SPRINGS MUT WTR,Private
CA5410050,Community water system,ALPAUGH COMMUNITY SERVICES DISTRICT,Local government
CA3610039,Community water system,SAN BERNARDINO CITY,Local government
CA3410014,Community water system,"FOLSOM, CITY OF - MAIN",Local government
CA3410030,Community water system,"FOLSOM, CITY OF - ASHLAND",Local government
CA3100023,Community water system,ROCKANNA ROYALE MOBILE HOME PARK,Private
CA3100029,Community water system,TIMBERLAND TRACT WATER CO,Private
CA3100043,Community water system,GOLD HILL MOBILEHOME PARK,Private
CA3100062,Transient non-community system,INDIAN CREEK GOLF COURSE,Private
CA3100069,Community water system,AUBURN RIDGE WOODS,Private
CA3100072,Non-Transient non-community system,LIVE OAK WALDORF SCHOOL,Private
CA3100077,Non-Transient non-community system,DRY CREEK ELEMENTARY SCHOOL,Private
CA3100079,Transient non-community system,SIERRA REACH MINISTRIES,Private
CA3100082,Transient non-community system,HAMPSHIRE ROCKS CAMPGROUND,Private
CA3100083,Non-Transient non-community system,OPHIR ELEMENTARY SCHOOL WATER SYSTEM,Private
CA3100114,Transient non-community system,OLIVERS GROCERY,Private
CA3100119,Transient non-community system,MIDDLE MEADOWS CAMPGROUND,Private
CA3100120,Transient non-community system,HELL HOLE,Private
CA3100528,Community water system,GOLDEN HILLS MUTUAL WATER CO,Private
CA3100538,Community water system,ROSECREST MUTUAL,Private
CA3100019,Community water system,NORTH EDEN VALLEY,Private
CA3200036,Transient non-community system,PNF FRENCHMAN & SPRING CREEK CG,Federal government
CA3200037,Transient non-community system,PNF BIG COVE CG,Federal government
CA3200039,Transient non-community system,PNF CHILCOOT CG,Federal government
CA3200048,Non-Transient non-community system,PNF MT. HOUGH RANGER STATION,Federal government
CA3200050,Transient non-community system,PNF GANSNER BAR CG / WORK CENTER,Federal government
CA3200046,Transient non-community system,PNF NORTH FORK/QUEEN LILY CG,Federal government
CA3200084,Transient non-community system,PG&E ROCKY POINT CG,Private
CA3200108,Transient non-community system,TEN-TWO BAR & GRILL,Private
CA1700579,Community water system,VILLA BLUE ESTATES WATER DISTRICT,Private
CA1000533,Non-Transient non-community system,THREE CROWNS INDUSTRIAL PARK WATER,Private
CA3400383,Transient non-community system,BUILDING TRADES ASSOC,Private
CA1000151,Transient non-community system,ARMENIAN CHURCH CAMP,Private
CA4800784,Transient non-community system,WOODEN VALLEY WINERY,Private
CA3310002,Community water system,BEAUMONT CHERRY VALLEY WD,Local government
CA1900886,Non-Transient non-community system,HUGHES-ELIZABETH LAKES UNIF SCH DIST/OFC,Local government
CA1700698,Non-Transient non-community system,LARSEN S OFFICE COMPLEX,Private
CA1700580,Community water system,TWIN CREEKS MOBILE AND RV VILLAGE,Private
CA2300636,Transient non-community system,CLEONE CAMPGROUND,Private
CA3500539,Transient non-community system,DUNNEVILLE CAFE & MARKET,Private
CA1510005,Community water system,"DELANO, CITY OF",Local government
CA1009111,Community water system,SCE/BIG CREEK POWERHOUSE #1,Private
CA5110001,Community water system,CITY OF LIVE OAK,Local government
CA4310020,Community water system,CITY OF SAN JOSE - EVG/EDV/COY,Local government
CA4310019,Community water system,CITY OF SAN JOSE - NSJ/ALVISO,Local government
CA4310012,Community water system,CITY OF SANTA CLARA,Local government
CA4410011,Community water system,"WATSONVILLE, CITY OF",Local government
CA3500817,Community water system,LICO LABOR CAMP,Private
CA5610500,Transient non-community system,CHANNEL ISLANDS NATIONAL PARK,Federal government
CA3110048,Community water system,PLACER CSA - SHERIDAN,Local government
CA1900888,Transient non-community system,CAMP SHALOM / JCA,Private
CA2210915,Transient non-community system,REDWOODS MAIN WATER SYSTEM,Private
CA2210913,Transient non-community system,NORTH WAWONA ESTATES (B SYSTEM),Private
CA2210912,Transient non-community system,NORTH WAWONA PARK MUTUAL (A SYSTEM),Private
CA3010068,Community water system,EAST ORANGE COUNTY WD - RZ,Local government
CA3010093,Community water system,EAST ORANGE COUNTY WD - WZ,Local government
CA1000148,Non-Transient non-community system,WONDER VALLEY RIVER WAY RANCH,Private
CA3200186,Transient non-community system,UC BERKELEY FORESTRY CAMP,State government
CA4300562,Community water system,ROSEVIEW HEIGHTS MUTUAL WATER COMPANY,Private
CA3310046,Community water system,FARM MUTUAL W.C. (THE),Private
CA0405002,Transient non-community system,DWR-MONUMENT HILL RESTROOMS,State government
CA0610001,Community water system,ARBUCKLE PUBLIC UTILITY DISTRICT,Local government
CA4810033,Non-Transient non-community system,HINES NURSERY WINTERS SOUTH,Private
CA4810020,Non-Transient non-community system,HINES NURSERIES WINTERS NORTH,Private
CA0110019,Transient non-community system,GOLDEN GATE CHURCH,Public/Private
CA1503642,Non-Transient non-community system,WEEKS WHOLESALE ROSE GROWER WATER SYSTEM,Private
CA4300741,Community water system,MIREVAL IMPROVEMENT ASSOCIATION,Private
CA5603301,Non-Transient non-community system,BRANDEIS BARDIN INSTITUTE,Private
CA1910053,Community water system,HEMLOCK MUTUAL WATER CO.,Private
CA1700731,Transient non-community system,BRASSFIELD ESTATE WINERY,Private
CA1910152,Community water system,"SOUTH GATE-CITY, WATER DEPT.",Local government
CA1710015,Community water system,HIDDEN VALLEY LAKE CSD,Local government
CA4901094,Transient non-community system,LOMBARDI'S DELI & BBQ,Private
CA4901203,Non-Transient non-community system,ASTI WINERY,Private
CA4900957,Non-Transient non-community system,CHATEAU ST. JEAN WINERY,Private
CA2710003,Community water system,MONTE DEL LAGO MHC,Private
CA5603122,Non-Transient non-community system,"STATE READY MIX, INC.",Local government
CA5400637,Transient non-community system,BUCKEYE TREE LODGE,Private
CA5401071,Transient non-community system,SILVER CITY WATER CO.,Private
CA4901373,Transient non-community system,UPTICK VINEYARDS,Private
CA3700195,Transient non-community system,SACRED ROCKS RESERVE,Private
CA3700235,Transient non-community system,YOUNG LIFE OAKBRIDGE CAMP,Private
CA3700117,Non-Transient non-community system,MOUNTAIN EMPIRE HIGH SCHOOL,Local government
CA3700895,Transient non-community system,EL MONTE COUNTY PARK,Local government
CA3700065,Transient non-community system,"SOUTH BAY ROD & GUN CLUB, INC.",Private
CA4000501,Community water system,HALCYON WATER SYSTEM,Private
CA4000504,Community water system,VISTA DE LAS FLORES WATER,Private
CA4000506,Community water system,WOODLAND PARK MUTUAL WATER CO,Private
CA4000507,Community water system,GARDEN FARMS C.W.D.,Private
CA4000523,Community water system,S & T MUTUAL WATER COMPANY,Private
CA4000554,Community water system,GREEN RIVER MUTUAL WATER CO.,Private
CA4000568,Community water system,SAN SIMEON CSD,Local government
CA3700276,Transient non-community system,OAK KNOLL VILLAGE,Private
CA3700291,Community water system,OCOTILLO OASIS MOBILE HOME PARK,Private
CA3200049,Community water system,SIERRA SPRINGS RESORT,Private
CA4000590,Non-Transient non-community system,COUNTY OF MONTEREY-LAKE NACIMIENTO,Private
CA4000623,Non-Transient non-community system,MUTUAL WATER ASSOCIATION,Private
CA4000632,Community water system,HIDDEN HILLS MOBILODGE,Private
CA4000637,Community water system,COUNTRY HILLS ESTATES,Private
CA4000648,Community water system,KEN MAR GARDENS,Private
CA4000653,Community water system,RANCHO COLINA MOBILE HOME PARK,Private
CA4000660,Community water system,BEAR VALLEY WATER COMPANY,Private
CA4000670,Community water system,WALNUT HILLS MUTUAL WATER CO,Private
CA3200106,Transient non-community system,FEATHER RIVER INN,Private
CA3200152,Transient non-community system,WHISPERING PINES R.V. & M.H.P.,Private
CA3200178,Transient non-community system,WILSONS CAMP PRATTVILLE,Private
CA3400384,Transient non-community system,NEW MOON RIVER INN (SWS),Private
CA3400387,Non-Transient non-community system,BLUE DIAMOND GROWERS,Private
CA3400394,Transient non-community system,DELTA SHORES RESORT,Private
CA3400396,Transient non-community system,TEAL BEND GOLF COURSE,Private
CA3400402,Non-Transient non-community system,SHELDON ACRES DEV CENTER,Private
CA3400410,Transient non-community system,SHELDON TRADING POST,Private
CA3400412,Transient non-community system,SACRAMENTO SIKH SOCIETY,Private
CA3400393,Transient non-community system,NORTH RIDGE COUNTRY CLUB,Private
CA4500012,Community water system,CASCADE RACQUET CLUB MUTUAL WATER,Private
CA4500013,Community water system,LAKESIDE WOODS MUTUAL WATER CO,Private
CA1500584,Community water system,GOOSELAKE WATER COMPANY,Private
CA1900591,Transient non-community system,"STURTEVANT CAMP, UNITED METHODIST",Private
CA4800596,Non-Transient non-community system,UPCO,Private
CA1805004,Community water system,CDCR-HIGH DESERT STATE PRISON,State government
CA4600019,Community water system,SIERRA CO. W.W.D #1 CALPINE,Local government
CA1900808,Community water system,LANCASTER WATER COMPANY,Private
CA4810026,Community water system,SID - PEABODY,Local government
CA4810025,Community water system,SID - PLEASANT HILLS RANCH,Local government
CA4810024,Community water system,SID - BLUE RIDGE OAKS,Local government
CA4810012,Community water system,SID - QUAIL CANYON,Local government
CA4810011,Community water system,SID - ELMIRA,Local government
CA4810010,Community water system,SID - GIBSON CANYON,Local government
CA4810005,Community water system,SUISUN-SOLANO WATER AUTHORITY,Local government
CA4800767,Non-Transient non-community system,STOCKING RANCH DEEPWELL,Local government
CA4500036,Non-Transient non-community system,COLEMAN NATIONAL FISH HATCHERY,Federal government
CA1910062,Community water system,"LA VERNE, CITY WD",Local government
CA1700505,Transient non-community system,KELLY'S KAMP,Private
CA1500393,Community water system,RAINBIRD VALLEY MUTUAL WATER COMPANY,Private
CA4901143,Non-Transient non-community system,FAMILY LIFE CENTER,Private
CA2810008,Community water system,VETERANS HOME OF CALIFORNIA,State government
CA2010010,Community water system,MADERA VALLEY WATER COMPANY,Private
CA4300521,Community water system,KENNON WATER COMPANY,Private
CA1410510,Community water system,LADWP - MANZANAR,Local government
CA1410002,Community water system,LADWP - INDEPENDENCE,Local government
CA1410003,Community water system,LADWP - LONE PINE,Local government
CA1210019,Community water system,HYDESVILLE CO. W.D.,Local government
CA5410001,Community water system,CUTLER PUD,Local government
CA3310033,Community water system,SANTA ANA RIVER WATER COMPANY,Private
CA1009172,Community water system,VAQUERO FARMS,Private
CA1500426,Community water system,ROSE VILLA APARTMENTS,Private
CA5610029,Community water system,VINEYARD AVENUE ACRES MWC,Private
CA4901220,Transient non-community system,LYTTON SPRINGS WINERY,Private
CA1910013,Community water system,BELLFLOWER - SOMERSET MWC,Private
CA1000223,Transient non-community system,WISHON VILLAGE,Private
CA4300748,Transient non-community system,THE JUNCTION WATER SYSTEM,Private
CA1210016,Community water system,MCKINLEYVILLE C.S.D.,Local government
CA5601135,Non-Transient non-community system,CAMP SCHEIDECK,Private
CA5010300,Transient non-community system,TURLOCK STATE RECREATION AREA,State government
CA3910300,Transient non-community system,CSP CASWELL STATE PARK,State government
CA0310300,Transient non-community system,INDIAN GRINDING ROCK-CALAVERAS DISTRICT,State government
CA3710015,Community water system,"POWAY, CITY OF",Local government
CA1503475,Community water system,WESTERN ACRES MUTUAL WATER COMPANY,Private
CA1503209,Non-Transient non-community system,SUPERIOR MUTUAL WATER COMPANY,Private
CA2010800,Community water system,CENTRAL CA WOMENS FACILITY,State government
CA4900577,Community water system,RIO LINDO ADVENTIST ACADEMY,Private
CA2300838,Non-Transient non-community system,FLIGHT RIDGE,Private
CA4901181,Transient non-community system,HANNA VINEYARDS,Private
CA5601144,Community water system,RANCHO SESPE WORKERS IMP ASSOC,Private
CA1910006,Community water system,SO. CAL. EDISON CO.-SANTA CATALINA,Private
CA5400644,Transient non-community system,SEQUOIA VILLAGE INN,Private
CA0202506,Transient non-community system,CAPLES LAKE RESORT,Private
CA0202512,Transient non-community system,SORENSON S RESORT,Private
CA0202516,Transient non-community system,SORENSON S HOA,Private
CA0202517,Transient non-community system,LAKE ALPINE REC. AREA,Private
CA0202520,Non-Transient non-community system,HOPE VALLEY RESORT,Private
CA0202525,Transient non-community system,HIGHLAND LAKES #2,Federal government
CA0202542,Transient non-community system,WOODS LAKE REC. AREA,Federal government
CA0202547,Transient non-community system,CAMP LIAHONA,Private
CA0202552,Transient non-community system,BLUE LAKES C.G. DAM & MID,Private
CA0202554,Transient non-community system,BLUE LAKES C.G. - LOWER,Private
CA0202556,Transient non-community system,BLUE LAKES C.G. - UPPER,Private
CA0202562,Transient non-community system,SAND FLAT # 1,Federal government
CA2110004,Community water system,STINSON BEACH COUNTY WTR DIST,Local government
