Regulating_agency,County,SystemID,System_Name,System_Type,Institution_type,Connections,Population,Inactivation_Date,Activity_date_from_tool,Date_combined,Receiving_Water_System,Receiving_System_ID,Receiving_System_Institution_Type,Issue_SWRCB,Issue_summary,Issue_capacity,Issue_quality,Issue_TMF,Issue_disaster,Issue_sustainability,Funding_Source,Consolidation_Type,Physical_or_Mangerial,Mandatory_or_voluntary,Story_link,long,lat,Data_source,Notes,Notes_Suzanne,Remove?,2016_proxydata_pop_con_type_county,Number_systems_involved,Unique_project,Consolidatedsystem_primary_source_combined,EPA_2021_source,Consolidatedsystem_primary_source_combinedFINAL,Receiving_2021_source,Receiving_2021_pop,Receiving_2021_systemtype,Distance(m),Prox_ord,CES_Receiving_Polygon,DistNote,Percent.renter.consolidated,Percent.owner.consolidated,Percent.white.consolidated,Percent.black.consolidated,Percent.asian.consolidated,Percent.native.consolidated,Percent.PI.consolidated,Percent.hispanicorlatino.consolidated,MHI.consolidated,Percent.renter.receiving,Percent.owner.receiving,Percent.white.receiving,Percent.black.receiving,Percent.asian.receiving,Percent.native.receiving,Percent.PI.receiving,Percent.hispanicorlatino.receiving,MHI.receiving
District 12 - Visalia,KERN,CA1500508,TWIN PINES MOBILEHOME PARK,C,MHP,40,92,6/5/17,NA,17-Jun,City of Bakersfield,CA1510031,City,None,None,0,0,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-119.081399,35.382306,Both,NA,NA,No,No,2,Yes,GW,NA,GW,SWP,149796,Community water system,15.03698165,2,1,NA,29.44664032,70.55335968,47.71573604,0.063451777,6.852791878,0,0,31.15482234,68600,33.18270969,66.81729031,39.72913765,5.530204744,10.50954517,0.259426307,0.22154201,40.05829332,NA
LPA37- Contra Costa County,CONTRA COSTA,CA0706108,LONE TREE MEDICAL & DENTAL,NC,Private (other),2,45,8/2/18,NA,18-Aug,City of Brentwood,CA0710004,City,Nitrate,Quality,0,1,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-121.744998,37.960949,Both,NA,NA,No,No,2,Yes,GW,NA,GW,SWP,65118,Community water system,1522.171266,3,1,NA,20.15151515,79.84848485,23.52268395,1.410598551,32.78688525,0.724361418,0,39.38238658,106652,22.88658343,77.11341657,50.83929139,9.203813758,10.47693232,0.553323799,0.526375948,22.51696105,NA
LPA37- Contra Costa County,CONTRA COSTA,CA0707557,NEIGHBORHOOD CHURCH,NTNC,Private (other),2,250,4/22/19,NA,19-Apr,City of Brentwood,CA0710004,City,Nitrate,Quality,0,1,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-121.690034,37.931527,Both,NA,NA,No,No,2,Yes,GW,NA,GW,SWP,65118,Community water system,NA,NA,NA,NA,47.97178131,52.02821869,43.3350758,11.29116571,0,7.318348144,6.116048092,28.01881861,87546,22.88658343,77.11341657,50.83929139,9.203813758,10.47693232,0.553323799,0.526375948,22.51696105,NA
LPA80 - STANISLAUS COUNTY,STANISLAUS,CA5000308,B & H MANUFACTURING,NTNC,Private (other),1,90,3/29/17,NA,17-Mar,City of Ceres,CA5010028,City,"Arsenic, coliform",Quality,0,1,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-120.9658357,37.5349485,Both,"Coliform not listed on excel data but on tool, too lists coliform and arsenic as issues",NA,No,No,2,Yes,GW,NA,GW,GW,48706,Community water system,4066.801696,7,NA,NA,18.52551985,81.47448015,53.64963504,0,1.322992701,1.322992701,0,43.70437956,NA,43.63861831,56.36138169,27.2705292,2.603767819,2.886493224,0.776712155,0.731819917,63.4841457,NA
LPA80 - STANISLAUS COUNTY,STANISLAUS,CA5000484,UNITED PALLET SERVICES INC WATER SYSTEM,NTNC,Private (other),5,45,9/24/18,NA,18-Sep,City of Ceres,CA5010028,City,Arsenic,Quality,0,1,0,0,0,private,Voluntary Consolidation,Physical,Voluntary,NA,-120.9942852,37.5788277,Both,Excel data said system type was NC,NA,No,No,2,Yes,GW,NA,GW,GW,48706,Community water system,1280.519084,2,NA,NA,55.66037736,44.33962264,37.40842491,0,7.463369963,1.144688645,0,53.66300366,43864,43.63861831,56.36138169,27.2705292,2.603767819,2.886493224,0.776712155,0.731819917,63.4841457,NA
District 21 - Valley,COLUSA,CA0600011,DEL ORO WATER CO.-WALNUT RANCH,C,IOU,78,182,4/6/17,NA,17-Apr,City of Colusa,CA0610002,City,Arsenic/Failing wells,Multiple,1,1,0,0,0,SWRCB,Voluntary Consolidation,Physical,Voluntary,https://www.waterboards.ca.gov/drinking_water/certlic/drinkingwater/documents/partnership_success/delorowalnut.pdf,-122.022335,39.20228,Both,NA,NA,No,No,2,Yes,GWP,NA,GWP,GW,6175,Community water system,NA,NA,NA,NA,22.54901961,77.45098039,22.86171063,0,0,0,0,73.78097522,63841,41.99766737,58.00233263,40.81189703,2.8663362,0.747724749,0.210423304,9.43E-04,52.16221874,NA
LPA82 - TEHAMA COUNTY,TEHAMA,CA5200516,LAZY CORRAL MOBILE HOME PARK,C,MHP,37,103,3/15/21,NA,21-Mar,CITY OF CORNING,CA5210001,City,BACTERIOLOGICAL,Quality,0,1,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-122.1959048,39.9212578,Both,NA,NA,No,No,2,Yes,GW,NA,GW,GW,7663,Community water system,140.6128615,2,NA,NA,65.94936709,34.05063291,28.75615764,0,3.201970443,1.169950739,0,63.60837438,26353,48.08412866,51.91587134,40.04860068,0.813340845,1.159847251,2.069469263,0.052313958,48.26743441,43036.4893
District 01 - Klamath,HUMBOLDT,CA1200698,MOBILE ESTATES FN,C,MHP,66,120,6/26/17,NA,17-Jun,City of Eureka,CA1210004,City,DBPs,Quality,0,1,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-124.063488,40.842738,Both,Receiving system name listed as placerville city in excel data but that makes no sense and system number in web tool links to Eureka so put that,NA,No,No,2,Yes,GW,NA,GW,GWP,27078,Community water system,2893.44254,2,NA,NA,19.62774958,80.37225042,90.34482759,0,2.835249042,2.911877395,0,3.67816092,46806,52.60226347,47.39773653,68.32340614,2.032294294,5.834321499,1.734559254,0.197263614,14.36959413,NA
DISTRICT 04 - SAN FRANCISCO,SOLANO,CA4810037,SOLANO COUNTY CORDELIA STATE,NC,County (other),1,30,5/3/19,NA,19-May,City of Fairfield,CA4810003,City,Arsenic,Quality,0,1,0,0,0,Solano County,Voluntary Consolidation,Physical,Voluntary,NA,-122.1062682,38.2312779,Both,NA,NA,No,No,2,Yes,GW,NA,GW,SW,112140,Community water system,416.1414302,1,NA,NA,42.03935599,57.96064401,40.01189061,3.151010702,40.1902497,0,0,11.41498216,106927,43.67167796,56.32832204,27.95767078,16.30106305,13.67746133,0.494010603,1.447612509,34.13718393,NA
District 23 - Fresno,FRESNO,CA1000624,SUNNYSIDE MARKET,NC,Private (other),2,429,9/5/17,NA,17-Sep,City of Fresno,CA1010007,City,None,None,0,0,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-119.6628067,36.7506917,Both,NA,NA,No,No,2,Yes,GW,NA,GW,SW,541990,Community water system,113.6821938,1,NA,NA,8.423586041,91.57641396,43.38970023,0.614911606,18.48578017,0,0,28.78554958,97917,52.82878384,47.17121616,27.08518563,6.800447794,12.81272826,0.467298026,0.140435662,50.0154709,NA
District 11 - Merced,FRESNO,NA,DALEVILLE (Individual Homes),NA,Domestic wells,42,120,10/1/18,Dec.2018,18-Oct,City of Fresno,CA1010007,City,"Nitrate, uranium, drought supply shortages",Multiple,0,1,0,1,0,DWR / CAA,Domestic well consolidation,Physical,Voluntary,https://www.waterboards.ca.gov/drinking_water/certlic/drinkingwater/documents/partnership_success/daleville.pdf,-119.7875425,36.7665762,Both,Changed pop and connections numbers based on story in consoldiation success story.,NA,No,No,1P,Yes,NA,NA,GW,SW,541990,Community water system,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.82878384,47.17121616,27.08518563,6.800447794,12.81272826,0.467298026,0.140435662,50.0154709,NA
District 23 - Fresno,FRESNO,CA1000276,ORANGE CENTER SCHOOL,NTNC,School,3,410,6/27/19,NA,19-Jun,City of Fresno,CA1010007,City,Lead,Quality,0,1,0,0,0,SWRCB,Voluntary Consolidation,Physical,Voluntary,NA,-119.780911,36.682749,Both,NA,NA,No,No,2,Yes,GW,NA,GW,SW,541990,Community water system,325.9947466,2,NA,NA,56.49717514,43.50282486,18.3908046,0.766283525,6.053639847,0,0,71.80076628,66023,52.82878384,47.17121616,27.08518563,6.800447794,12.81272826,0.467298026,0.140435662,50.0154709,NA
DISTRICT 23 - FRESNO,FRESNO,CA1000496,COPPER RIVER COUNTRY CLUB,NTNC,Private (other),1,125,8/30/21,NA,21-Aug,CITY OF FRESNO,CA1010007,City,"1,2,3 TCP",Quality,0,1,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,NA,NA,Excel,"Recently done,  not in partnership tool yet. Got  more info from regional board staff on April 20 2022",NA,No,No,2,Yes,GW,NA,GW,SW,541990,Community water system,1155.321832,1,1,NA,12.23529412,87.76470588,37.66175814,0.892458724,54.08299866,0,0,6.20258813,157800,52.82878384,47.17121616,27.08518563,6.800447794,12.81272826,0.467298026,0.140435662,50.0154709,NA
DISTRICT 23 - FRESNO,FRESNO,CA1000646,E-Z TRIP,NP,Private (other),2,25,9/21/21,NA,21-Sep,City of Fresno,CA1010007,City,NONE,None,0,0,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,NA,NA,Excel,"Recently done,  not in partnership tool yet, Fiarly psoitive would be with Fresno city but double check",NA,No,No,2,Yes,GW,NA,GW,SW,541990,Community water system,150.5809507,1,NA,NA,13.80597015,86.19402985,31.84647303,0,3.838174274,0,0,63.07053942,108889,52.82878384,47.17121616,27.08518563,6.800447794,12.81272826,0.467298026,0.140435662,50.0154709,NA
District 23 - Fresno,FRESNO,CA1000512,YERGAT PACKING COMPANY,NTNC,Private (other),2,150,NA,June.2019,22-Jun,CITY OF FRESNO,CA1010007,City,Coliform,Quality,0,1,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-119.76196,36.6988433,Tool,NA,NA,No,No,2,Yes,GW,NA,GW,SW,541990,Community water system,0,1,1,NB -- This disappears when we filter out jurisdictional boundaries. There is no match without jurisdictional boundaries,29.58579882,70.41420118,16.64295875,0.426742532,24.0398293,0,0,58.89046942,45208,52.82878384,47.17121616,27.08518563,6.800447794,12.81272826,0.467298026,0.140435662,50.0154709,NA
District 23 - Fresno,FRESNO,CA1000248,DOUBLE L MOBILE RANCH PARK,C,MHP,37,80,4/16/20,NA,20-Apr,City of Kerman,CA1010018,City,"Uranium; 1,2,3-TCP",Quality,0,1,0,0,0,SWRCB,Voluntary Consolidation,Physical,Voluntary,HTTPS://WWW.WATERBOARDS.CA.GOV/DRINKING_WATER/CERTLIC/DRINKINGWATER/DOCUMENTS/PARTNERSHIP_SUCCESS/DOUBLE_L_MHP_CONSOL.DOCX,-119.996395,36.7133135,Both,Downloaded excel data said NP as system type. Partnerships tool data only lists uranium as the issue,NA,No,No,2,Yes,GW,NA,GW,GW,15282,Community water system,4172.192308,2,NA,NA,25.92592593,74.07407407,30.73891626,2.561576355,0,0,0,61.87192118,61827,47.83303559,52.16696441,13.84748617,0.082183469,4.064481334,0.10903503,0,80.59311108,NA
LPA69 - SAN JOAQUIN COUNTY,SAN JOAQUIN,CA3900810,JR SIMPLOT CO,NTNC,Private (other),1,300,1/7/19,NA,19-Jan,City of Lathrop,CA3910015,City,"TCR, Arsenic",Quality,0,1,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-121.275974,37.808651,Both,NA,NA,No,No,2,Yes,GW,NA,GW,SWP,26833,Community water system,NA,NA,NA,NA,55.20833333,44.79166667,21.16788321,0,20.92457421,0,0,57.90754258,51563,22.27796386,77.72203614,23.41729856,5.313796474,24.24929635,0.051864648,0.52476162,42.12326593,NA
DISTRICT 11 - MERCED,MERCED,CA2400346,LIVINGSTON FARMERS ASSOCIATION WATER SYS,NTNC,Private (other),2,30,1/11/21,NA,21-Jan,City of livingston,CA2410004,City,ARSENIC,Quality,0,1,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-120.68941,37.4034798,Both,Changed system type to NTNC from NP and changed population from zero to 30 to match partnerships tool data compared to what was in the excel data,NA,No,No,2,Yes,GW,NA,GW,GW,14894,Community water system,1524.078599,1,NA,NA,48.79679144,51.20320856,6.913429183,0,15.99877638,0,0,75.86417865,56047,46.49364492,53.50635508,6.293080358,0,20.57836192,4.19E-04,0,72.72089062,NA
District 11 - Merced,MERCED,CA2400176,ST. PAUL LUTHERAN DAY CARE,NTNC,School,1,50,6/19/17,NA,17-Jun,City of Merced,CA2410009,City,None,None,0,0,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-120.442966,37.312162,Both,System type in yearly excel listed as NP,NA,No,No,2,Yes,GW,NA,GW,GW,87110,Community water system,52.11119133,1,NA,NB - This filters out when we eliminate jursidictions.,17.56756757,82.43243243,55.37037037,1.049382716,4.75308642,0,0,37.28395062,81875,NA,NA,NA,NA,NA,NA,NA,NA,NA
LPA58 - NAPA COUNTY,NAPA,CA2800548,SILVERADO PINES MOBILE HOME,C,MHP,1,255,4/20/21,NA,21-Apr,City of Napa,CA2810003,City,None,None,0,0,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-122.27294,38.2890933,Both,NA,NA,No,No,2,Yes,GW,NA,GW,SW,86906,Community water system,67.36698082,2,1,NA,50.43156597,49.56843403,60.57791538,0,3.405572755,0,0,32.76573787,85744,39.46368627,60.53631373,54.5413898,0.792309696,2.707034754,0.238069104,0.07490372,38.3783419,NA
LPA58 - NAPA COUNTY,NAPA,CA2800538,CARNEROS INN,C,MWC,1,30,7/20/21,NA,21-Jul,City of Napa,CA2810003,City,Exceeded GW use allowed,NA,1,0,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,NA,NA,Excel,"Recently done,  not in partnership tool yet - https://www.napa.lafco.ca.gov/uploads/documents/10-7-19_6b_CarnerosOSA-Napa.pdf",NA,No,No,2,Yes,GW,NA,GW,SW,86906,Community water system,0,1,1,NA,24.46601942,75.53398058,82.97101449,1.014492754,7.971014493,5.072463768,0,2.753623188,119107,39.46368627,60.53631373,54.5413898,0.792309696,2.707034754,0.238069104,0.07490372,38.3783419,NA
LPA66 - SAN BERNARDINO COUNTY,SAN BERNARDINO,CA3601094,FUJI NATURAL FOOD,NTNC,Private (other),2,75,5/16/19,NA,19-May,City of Ontario,CA3610034,City,Nitrate,Quality,0,1,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-117.559378,34.009721,Both,NA,NA,No,No,2,Yes,GW,NA,GW,SWP,185010,Community water system,NA,NA,NA,NA,9.240407204,90.7595928,25.49067119,6.445359826,19.62684759,0,0,44.05136903,104736,45.75802799,54.24197201,15.38680101,5.305407213,6.048643184,0.363932523,0.257377764,70.11813017,NA
LPA80 - STANISLAUS COUNTY,STANISLAUS,CA5000271,BUEHNER WATER SYSTEM-WEBER COMPLEX,C,Private (other),9,30,9/21/18,NA,18-Sep,City of Patterson,CA5010017,City,E. coli in source,Quality,0,1,0,0,0,private,Voluntary Consolidation,Physical,Voluntary,NA,-121.1273218,37.4842802,Both,NA,NA,No,No,2,Yes,GW,NA,GW,GW,23764,Community water system,NA,NA,NA,NA,47.00239808,52.99760192,4.630650496,0,0,0,0,94.37706725,41446,33.10369994,66.89630006,25.16200002,2.173625858,2.293263975,0.011714064,0.277170804,68.42083844,NA
DISTRICT 18 - SONOMA,SONOMA,CA4901389,PG & E LAKEVILLE SUBSTATION,NTNC,Private (other),1,50,8/16/18,NA,18-Aug,City of Petaluma,CA4910006,City,None,None,0,0,0,0,0,private,Voluntary Consolidation,Physical,Voluntary,NA,-122.580815,38.250365,Both,NA,NA,No,No,2,Yes,GW,NA,GW,GW,64251,Community water system,752.7271502,2,NA,NA,6.906906907,93.09309309,88.56132075,0,8.136792453,0,0,3.183962264,127227,38.13333097,61.86666903,66.28549114,1.07579226,3.899329789,0.308021529,0.036854589,23.30790685,NA
District 09- Sacramento,EL DORADO,CA0910010,"PLACERVILLE, CITY OF - SIERRA GOLF & CC",C,City,264,320,6/20/17,NA,17-Jun,City of Placerville-Main,CA0910003,City,DBPs,Quality,0,1,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-120.802628,38.728678,Both,NA,NA,No,No,2,Yes,SWP,NA,SWP,SWP,10762,Community water system,NA,NA,NA,NA,33.95784543,66.04215457,70.05714286,1.428571429,1.485714286,0,0,24.05714286,62338,35.52682163,64.47317837,75.18603872,1.266679767,1.330121593,0.380306566,0,19.29154251,65080.53549
DISTRICT 24 - TULARE,TULARE,CA5403038,SPRINGVILLE WATER CO.,C,Private (other),5,50,1/15/20173,Jan.2018,17-Jan,City of Porterville,CA5410010,City,Single source in drought prone area,Sustainability,0,0,0,0,1,SWRCB,Voluntary Consolidation,Physical,Voluntary,NA,-118.964641,36.054012,Both,Partnership tool lists issu as single source capacity,NA,No,No,2,Yes,GW,NA,GW,GW,65702,Community water system,163.5205761,1,NA,NA,63.55932203,36.44067797,69.32270916,0,0,0,0,30.67729084,20625,51.23691087,48.76308913,21.60490019,0.315840269,4.142735045,1.016820796,0.376446939,70.33753367,NA
DISTRICT 24 - TULARE,TULARE,CA5400600,GOLDEN KEY APARTMENTS,C,Private (other),16,48,3/21/17,NA,17-Mar,City of Porterville,CA5410010,City,None,None,0,0,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-119.0356383,36.0647783,Both,NA,NA,No,No,2,Yes,GW,NA,GW,GW,65702,Community water system,10.68973497,2,NA,NA,36.33217993,63.66782007,11.65695254,0,0,0,0,88.34304746,56263,51.23691087,48.76308913,21.60490019,0.315840269,4.142735045,1.016820796,0.376446939,70.33753367,NA
DISTRICT 24 - TULARE,TULARE,CA5403202,SALLY TRACH WATER SYSTEM,C,Private (other),10,25,5/25/17,NA,17-May,City of Porterville,CA5410010,City,None,None,0,0,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-119.017809,36.068525,Both,NA,NA,No,No,2,Yes,GW,NA,GW,GW,65702,Community water system,NA,NA,NA,NA,53.65853659,46.34146341,5.167597765,0,0,0,0,94.83240223,18634,51.23691087,48.76308913,21.60490019,0.315840269,4.142735045,1.016820796,0.376446939,70.33753367,NA
DISTRICT 24 - TULARE,TULARE,CA5403149,RANCHO LOPEZ WATER SYSTEM,C,Private (other),11,50,12/31/17,NA,17-Dec,City of Porterville,CA5410010,City,"Periodic bacteriological issues, single source",Multiple,0,1,0,0,1,SWRCB,Voluntary Consolidation,Physical,Voluntary,NA,-118.984521,36.059476,Both,NA,NA,No,No,2,Yes,GW,NA,GW,GW,65702,Community water system,711.9473038,3,NA,NA,54.95689655,45.04310345,28.02893309,0,1.687763713,0,0.783604581,67.99276673,21016,51.23691087,48.76308913,21.60490019,0.315840269,4.142735045,1.016820796,0.376446939,70.33753367,NA
LPA64 - SACRAMENTO COUNTY,SACRAMENTO,CA3400198,CARA BAY APARTMENTS,C,Private (other),85,500,3/8/18,NA,18-Mar,City of Sacramento,CA3410020,City,tetrachloroethylene,Quality,0,1,0,0,0,private,Voluntary Consolidation,Physical,Voluntary,NA,-121.4360967,38.5150817,Both,NA,NA,No,No,2,Yes,GW,NA,GW,SW,510931,Community water system,NA,NA,NA,NA,76.14533965,23.85466035,8.73015873,4.47845805,58.10657596,0,0,28.68480726,23859,50.6946366,49.3053634,31.88651983,12.84080148,18.94207615,0.319669858,1.638770327,28.39123409,NA
LPA64 - SACRAMENTO COUNTY,SACRAMENTO,CA3400352,ACORN MOBILE VILLAGE,C,MHP,56,100,10/18/19,NA,19-Oct,City of Sacramento Main,CA3410020,City,"PCE, monitoring",Multiple,0,1,1,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-121.4419157,38.5217128,Both,NA,NA,No,No,2,Yes,GW,NA,GW,SW,510931,Community water system,47.72109866,3,1,NA,79.87012987,20.12987013,22.11476467,7.607994842,43.00451322,0,0,24.62927144,39853,50.6946366,49.3053634,31.88651983,12.84080148,18.94207615,0.319669858,1.638770327,28.39123409,NA
LPA64 - SACRAMENTO COUNTY,SACRAMENTO,CA3400468,SACRAMENTO SOFTBALL COMPLEX (SWS),NC,City,4,500,6/17/21,NA,21-Jun,CITY OF SACRAMENTO MAIN,CA3410020,City,NONE,None,0,0,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-121.386844,38.639041,Both,NA,NA,No,No,2,Yes,GW,NA,GW,SW,510931,Community water system,0,1,1,NA,34.6749226,65.3250774,40.10791367,2.877697842,0.089928058,0,0,56.11510791,46453,50.6946366,49.3053634,31.88651983,12.84080148,18.94207615,0.319669858,1.638770327,28.39123409,NA
LPA70 - SAN LUIS OBISPO COUNTY,SAN LUIS OBISPO,CA4000743,UPS - SAN LUIS OBISPO,NTNC,Private (other),1,35,10/20/17,NA,17-Oct,City of San Luis Obispo,CA4010009,City,Treated for Mercury,Quality,0,1,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-120.642514,35.249208,Both,NA,NA,No,No,2,Yes,GW,NA,GW,SW,45920,Community water system,NA,NA,NA,NA,37.79904306,62.20095694,83.13891835,0,4.400848356,0,0,12.14209968,95722,65.71459015,34.28540985,68.73615974,2.54276409,5.517360567,0.187831755,0.02589527,19.09405512,NA
DISTRICT 06 - SANTA BARBARA,VENTURA,CA5601206,LIMONEIRA CO. - MCKEVETT,C,Private (other),9,36,2/1/17,NA,17-Feb,City of Santa Paula Water Dept.,CA5610011,City,None,None,0,0,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-119.0408133,34.362875,Both,NA,NA,No,No,2,Yes,GWP,NA,GWP,GW,29321,Community water system,NA,NA,NA,NA,84.93975904,15.06024096,1.208285386,1.035673188,0,0,0,97.75604143,55417,51.24970184,48.75029816,12.55555617,0.129066579,0.375465324,0.083632616,0.001724445,85.43455236,NA
DISTRICT 18 - SONOMA,SONOMA,CA4901439,CENTRO CHRISTIANO EVANGELISTICO,NTNC,Private (other),3,36,9/19/18,NA,18-Sep,City of Santa Rosa,CA4910009,City,Operating without a permit,NA,NA,NA,NA,NA,NA,private,Voluntary Consolidation,Physical,Voluntary,NA,-122.737424,38.428867,Both,NA,NA,No,No,2,Yes,GW,NA,GW,GW,173648,Community water system,NA,NA,NA,NA,21.80094787,78.19905213,35.9375,2.34375,0.9765625,0,0,60.7421875,48042,45.99029235,54.00970765,52.49198491,2.290819738,5.617907056,0.533904174,0.55975335,34.74957769,NA
DISTRICT 18 - SONOMA,SONOMA,CA4901410,STOP N SAVE,NC,Private (other),1,50,3/28/19,NA,19-Mar,City of Santa Rosa,CA4910009,City,"No Permit, single source capacity",Multiple,1,0,1,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-122.768644,38.420033,Both,No permit came from excel data for issue whereas partnership tool said single source capacity,NA,No,No,2,Yes,GW,NA,GW,GW,173648,Community water system,NA,NA,NA,NA,44.68899522,55.31100478,28.25497288,1.582278481,5.492766727,0,0,56.3517179,107532,45.99029235,54.00970765,52.49198491,2.290819738,5.617907056,0.533904174,0.55975335,34.74957769,NA
LPA87 - YOLO COUNTY,YOLO,CA5700600,FAST & EASY MART #54 - WATER,NC,Private (other),1,100,11/18/19,NA,19-Nov,City of Winters,CA5710005,City,bacteriological issues,Quality,0,1,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-121.956556,38.530616,Both,NA,NA,No,No,2,Yes,GW,NA,GW,GW,7417,Community water system,1561.264685,2,NA,NA,35.30927835,64.69072165,85.69903949,0,1.600853789,0,0,12.70010672,134000,26.25082126,73.74917874,58.03036055,0.962584288,1.08E-04,0,0,39.69783257,97295.32774
DISTRICT 24 - TULARE,TULARE,CA5403010,VISALIA CITRUS PACKERS-WOODLAKE,NTNC,Private (other),3,150,5/26/17,NA,17-May,City of Woodlake,CA5410020,City,Nitrate,Quality,0,1,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-119.1314448,36.4131647,Both,NA,NA,No,No,2,Yes,GW,NA,GW,GW,7950,Community water system,NA,NA,NA,NA,56.21052632,43.78947368,38.17330211,0,0.078064012,1.014832162,0,60.73380172,30424,50.26718279,49.73281721,6.580554348,0,2.155846446,0.003230891,0.327301049,90.13260431,50999.34873
LPA87 - YOLO COUNTY,YOLO,CA5700770,KENTUCKY AVENUE INDUSTRIAL,NC,Private (other),5,20,12/3/18,NA,18-Dec,City of Woodland,CA5710006,City,Nitrate,Quality,0,1,0,0,0,private,Voluntary Consolidation,Physical,Voluntary,NA,-121.7738017,38.69236,Both,Excel data listed system type as NP,NA,No,No,2,Yes,GW,NA,GW,GW,60978,Community water system,32.68915922,1,1,NA,37.58542141,62.41457859,68.44563042,0.533689126,2.001334223,0,0,29.01934623,76365,47.4980622,52.5019378,37.09168701,1.589229086,7.869541122,0.517263437,0.158380336,49.57089666,77146.57688
LPA87 - YOLO COUNTY,YOLO,CA5700649,WESTUCKY WATER ASSOC,C,Private (other),15,33,6/26/19,NA,19-Jun,City of Woodland,CA5710006,City,"Chromium VI, Nitrate, Bacti",Quality,0,1,0,0,0,CDBG,Voluntary Consolidation,Physical,Voluntary,NA,-121.7852554,38.69291977,Both,bacteria not listed as an issue in partnerships tool data,NA,No,No,2,Yes,GW,NA,GW,GW,60978,Community water system,72.11583822,1,1,NA,37.58542141,62.41457859,68.44563042,0.533689126,2.001334223,0,0,29.01934623,76365,47.4980622,52.5019378,37.09168701,1.589229086,7.869541122,0.517263437,0.158380336,49.57089666,77146.57688
DISTRICT 21 - VALLEY,SUTTER,CA5100176,CALVARY CHRISTIAN CENTER,NTNC,Private (other),1,245,10/22/18,NA,18-Oct,City of Yuba City,CA5110002,City,"historic nitrate, low level perchlorate",Quality,0,1,0,0,0,private,Voluntary Consolidation,Physical,Voluntary,NA,-121.664779,-121.664779,Both,Instead of what is listed for issues here the partnership tool says low level nitrate,NA,No,No,2,Yes,GW,NA,GW,SW,73202,Community water system,949.5993908,1,NA,NA,16.06217617,83.93782383,68.59813084,0,0,0,0,31.40186916,70208,54.5906269,45.4093731,42.37211733,2.739743445,13.20474004,1.034804928,0.316947431,35.44920019,NA
DISTRICT 21 - VALLEY,SUTTER,CA5105009,SIKH TEMPLE GURDWARA,NC,Private (other),1,250,9/28/20,NA,20-Sep,CITY OF YUBA CITY,CA5110002,City,Nitrate,Quality,0,1,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-121.663289,39.16305,Both,Partnership tool lists no issues instead of nitrate,NA,No,No,2,Yes,GW,NA,GW,SW,73202,Community water system,1131.337294,1,NA,NA,22.01257862,77.98742138,73.51724138,0.137931034,7.310344828,0,0,18.34482759,84417,54.5906269,45.4093731,42.37211733,2.739743445,13.20474004,1.034804928,0.316947431,35.44920019,NA
DISTRICT 03 - MENDOCINO,LAKE,CA1700516,LAKE COUNTY CSA 16 - PARADISE VALLEY,C,CSA,72,133,5/29/19,NA,19-May,Clearlake Oaks CWD,CA1710001,County Water District,Inadequate source capacity,Capacity,1,0,0,0,0,"IRWM, System funds",Voluntary Consolidation,Physical,Voluntary,NA,-122.753025,39.04182,Both,excel listed service connections is 72,NA,No,No,2,Yes,GW,NA,GW,SW,2359,Community water system,2899.864363,5,NA,NA,34.2192691,65.7807309,66.16231087,0.137551582,20.49518569,0,0,10.04126547,70221,32.96749617,67.03250383,82.46290385,0.053689862,2.747824024,1.216783249,0,13.3112734,55363.09122
