Regulating_agency,County,SystemID,System_Name,System_Type,Institution_type,Connections,Population,Inactivation_Date,Activity_date_from_tool,Date_combined,Receiving_Water_System,Receiving_System_ID,Receiving_System_Institution_Type,Issue_SWRCB,Issue_summary,Issue_capacity,Issue_quality,Issue_TMF,Issue_disaster,Issue_sustainability,Funding_Source,Consolidation_Type,Physical_or_Mangerial,Mandatory_or_voluntary,Story_link,long,lat,Data_source,Consolidatedsystem_primary_source_combinedFINAL,Receiving_2021_source,Receiving_2021_pop,Percent.renter.consolidated,Percent.owner.consolidated,Percent.white.consolidated,Percent.black.consolidated,Percent.asian.consolidated,Percent.native.consolidated,Percent.PI.consolidated,Percent.hispanicorlatino.consolidated,MHI.consolidated,Percent.renter.receiving,Percent.owner.receiving,Percent.white.receiving,Percent.black.receiving,Percent.asian.receiving,Percent.native.receiving,Percent.PI.receiving,Percent.hispanicorlatino.receiving,MHI.receiving
LPA87 - YOLO COUNTY,YOLO,CA5700600,FAST & EASY MART #54 - WATER,NC,Private (other),1,100,11/18/19,NA,Nov-19,City of Winters,CA5710005,City,bacteriological issues,Quality,0,1,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-121.956556,38.530616,Both,GW,GW,7417,35.30927835051546,64.69072164948454,85.6990394877268,0,1.6008537886872998,0,0,12.700106723585913,134000,26.25082126331168,73.74917873668832,58.03036054931003,0.9625842884823722,1.079633796879919e-4,0,0,39.69783256649189,97295.32774118189
LPA58 - NAPA COUNTY,"NAPA",CA2801045,ST. CLEMENT VINEYARDS INC.,NC,Private (other),1,100,9/16/19,NA,Sep-19,"St. Helena, City of",CA2810004,City,"bacteriological, monitoring",Multiple,0,1,1,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-122.410826,38.487184,Both,GW,SW,6152,19.844357976653697,80.1556420233463,45.16556291390729,0,0,0,0,40.397350993377486,137250,32.237269527472776,67.76273047252724,75.2178176512468,1.2697508923934675,2.0401735748157996,0.19753635778130413,0,20.440614647840945,110766.97296219427
DISTRICT 02 - LASSEN,SHASTA,CA4500001,"SHASTA CSA - KESWICK, #25",C,CSA,87,208,11/22/19,NA,Nov-19,Shasta CSD,CA4510013,CSD,Carr Fire Impacts,Disaster,0,0,0,1,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-122.3958892,40.5806173,Both,SW,SW,1584,25.386313465783665,74.61368653421634,91.6321458160729,0.24855012427506215,1.2427506213753108,0.4971002485501243,0,3.7282518641259323,42583,15.53370794095304,84.46629205904698,75.64054707434028,1.4546468539430994,9.080415801138258,4.48377310962156,0.01671417141858367,3.6670281593096257,94270.76846578246
LPA63 - RIVERSIDE COUNTY,RIVERSIDE,CA3301153,"CVUSD, WESTSIDE SCHOOL",NTNC,School,11,975,2/10/2021,NA,Feb-21,COACHELLA VWD: COVE COMMUNITY,CA3310001,County Water District,"CHROMIUM 6, COLIFORM",Quality,0,1,0,0,0,SWRCB,Regionalization,Physical,Voluntary,NA,-116.229993,33.641433,Both,GW,GW,297500,6.193078324225866,93.80692167577413,20.322043309272626,0,0,0,0,79.67795669072737,67171,29.815997414416323,70.1840025855837,38.61726999244269,2.0894397736475883,3.2730953573754897,0.25629354144920696,0.07957819278792487,53.910417503568745,NA
LPA63 - RIVERSIDE COUNTY,RIVERSIDE,CA3301276,THERMAL MUTUAL WATER COMPANY,C,MWC,36,100,2/10/2021,NA,Feb-21,COACHELLA VWD: COVE COMMUNITY,CA3310001,County Water District,"CHROMIUM 6, COLIFORM",Quality,0,1,0,0,0,SWRCB,Regionalization,Physical,Voluntary,NA,-116.2118438,33.65657888,Both,GW,GW,297500,24.649298597194388,75.35070140280561,0.718562874251497,0,0,0,0,99.28143712574851,13974,29.815997414416323,70.1840025855837,38.61726999244269,2.0894397736475883,3.2730953573754897,0.25629354144920696,0.07957819278792487,53.910417503568745,NA
LPA87 - YOLO COUNTY,YOLO,CA5700649,WESTUCKY WATER ASSOC,C,Private (other),15,33,6/26/19,NA,Jun-19,City of Woodland,CA5710006,City,"Chromium VI, Nitrate, Bacti",Quality,0,1,0,0,0,CDBG,Voluntary Consolidation,Physical,Voluntary,NA,-121.7852554,38.69291977,Both,GW,GW,60978,37.58542141230068,62.414578587699324,68.4456304202802,0.5336891260840559,2.0013342228152102,0,0,29.01934623082055,76365,47.498062203428766,52.50193779657124,37.09168701051559,1.58922908598609,7.869541121646334,0.5172634371683247,0.1583803358104968,49.57089665949441,77146.57688093535
DISTRICT 05 - MONTEREY,SAN BENITO,CA3500526,MCCLOSKEY ROAD LLC,C,MHP,14,0,NA,Dec-18,Dec-18,"HOLLISTER, CITY OF",CA3510001,City,"CHROMIUM, NITRATE",Quality,0,1,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-121.3936202,36.8688522,Tool,GW,SWP,23358,31.622176591375773,68.37782340862422,20.50233644859813,9.521028037383179,4.0887850467289715,0,0,60.45560747663551,69345,43.043372094742516,56.956627905257484,18.289334077386062,0.5425800799438214,1.5117891441850873,0.22921440351306244,0.08082971986547689,77.76819433277014,NA
LPA39- El Dorado County,EL DORADO,CA0900636,TRUCKEE CREEK COTTAGES,NC,Private (other),30,6,8/9/17,NA,Aug-17,South Tahoe PUD,CA0910002,PUD,Coliform,Quality,0,1,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-119.9949282,38.9222135,Both,GW,GW,121124,13.909774436090224,86.09022556390977,89.40936863543789,0,10.590631364562118,0,0,0,58269,47.85091019580782,52.14908980419217,65.39620759494996,0.6259236038519519,5.230386207376091,0.1207859482393177,0.07725800661849254,25.028566276663216,NA
District 23 - Fresno,FRESNO,CA1000512,YERGAT PACKING COMPANY,NTNC,Private (other),2,150,NA,June.2019,Jun-22,CITY OF FRESNO,CA1010007,City,Coliform,Quality,0,1,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-119.76196,36.6988433,Tool,GW,SW,541990,29.585798816568047,70.41420118343196,16.642958748221908,0.42674253200568996,24.039829302987197,0,0,58.89046941678521,45208,52.8287838442273,47.171216155772704,27.085185627075436,6.800447794330319,12.812728259303027,0.46729802597899694,0.14043566180375386,50.015470899927216,NA
LPA49 - LA COUNTY,LOS ANGELES,CA1900912,GORMAN ELEMENTARY SCHOOL,NTNC,School,4,98,12/2/20,NA,Dec-20,GOLDEN VALLEY MUNICIPAL WATER DISTRICT,CA1900767,MWD,Coliform,Quality,0,1,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-118.854108,34.792755,Both,GW,GW,70,26.569037656903767,73.43096234309623,52.82087447108603,3.7376586741889986,2.6798307475317347,0.7757404795486601,0,36.67136812411847,72500,26.649860992601987,73.350139007398,52.758151115039944,3.6597003645498116,2.6245944644018326,0.7799288425867617,0,36.877730594535166,72569.52179208116
DISTRICT 13 - SAN BERNARDINO,SAN BERNARDINO,CA3610853,CYA-INACTIVATED 20160108,C,State,1,1,NA,Jan-16,Jan-16,CALIFORNIA INSTITUTION FOR MEN,CA3610850,State,Coliform,Quality,0,1,0,0,0,Other,Voluntary Consolidation,Physical,Voluntary,NA,-117.656878,33.979422,Tool,GWP,GW,10667,NA,NA,30.333042042916787,18.594038256141374,3.6993882901252553,0.932129332944946,0.7088066802602194,40.003883872220605,NA,79.58366368604757,20.416336313952417,30.168019295255842,18.601596706986903,4.052068367480963,0.9174375812458748,0.6875285823935767,39.844052575675256,NA
District 11 - Merced,MERCED,CA2410008,"MEADOWBROOK WATER COMPANY OF MERCED, INC",C,Private (other),1713,5650,NA,Sep.2019,Sep-19,CAL AM - MEADOWBROOK,CA2410008,Private (other),Coliforn,Quality,0,1,0,0,0,None,Managerial,Managerial,Voluntary,NA,-120.5265213,37.3210238,Tool,GW,GW,5650,28.70478413068845,71.29521586931156,37.96320981071714,1.3596374300186616,39.562783257797925,0,0,15.542521994134898,53356,30.79015250552846,69.20984749447153,33.755603561471744,1.888670715378056,22.424757511317456,0.17478855935556775,0,38.30620731335414,63572.97484801385
District 09- Sacramento,EL DORADO,CA0910010,"PLACERVILLE, CITY OF - SIERRA GOLF & CC",C,City,264,320,6/20/17,NA,Jun-17,City of Placerville-Main,CA0910003,City,DBPs,Quality,0,1,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-120.802628,38.728678,Both,SWP,SWP,10762,33.957845433255265,66.04215456674473,70.05714285714286,1.4285714285714286,1.4857142857142858,0,0,24.057142857142857,62338,35.526821627834984,64.47317837216502,75.18603871517998,1.266679767481561,1.3301215927897867,0.38030656642879807,0,19.291542512671402,65080.535490784845
District 01 - Klamath,HUMBOLDT,CA1200698,MOBILE ESTATES FN,C,MHP,66,120,6/26/17,NA,Jun-17,City of Eureka,CA1210004,City,DBPs,Quality,0,1,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-124.063488,40.842738,Both,GW,GWP,27078,19.627749576988155,80.37225042301185,90.3448275862069,0,2.835249042145594,2.9118773946360155,0,3.67816091954023,46806,52.602263472145005,47.397736527854995,68.3234061438719,2.0322942941103346,5.834321498528614,1.7345592538444106,0.19726361438140444,14.369594130566021,NA
District 14 - San Diego,IMPERIAL,CA1310017,CHP CALEXICO PORT OF ENTRY,NTNC,State,1,223,12/8/17,NA,Dec-17,Gateway to Americas,CA1300018,CSA,DBPs,Quality,0,1,0,0,0,CalTrans,Voluntary Consolidation,Physical,Voluntary,NA,-115.38499,32.6807757,Both,SW,SW,1800,18.58823529411765,81.41176470588235,0.9962049335863378,2.2770398481973433,0.47438330170777987,0.8064516129032258,0,95.44592030360532,49023,18.58823529411765,81.41176470588236,0.9962049335863378,2.2770398481973433,0.47438330170777987,0.806451612903226,0,95.44592030360532,49023.00000000001
DISTRICT 18 - SONOMA,SONOMA,CA4910202,SONOMA DEVELOPMENTAL CENTER,C,State,71,123,10/1/19,NA,Oct-19,Sonoma County Water Agency,CA4910020,Special Act District,"disinfection byproducts, HAA5",Quality,0,1,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-122.5192313,38.347162,Both,SW,GW,0,43.66197183098591,56.33802816901409,67.31757451181912,0.8221993833504625,0.9249743062692704,1.5416238437821173,0,12.949640287769784,144219,NA,NA,NA,NA,NA,NA,NA,NA,NA
DISTRICT 18 - SONOMA,SONOMA,CA4900922,SMOTHER'S WATER SYSTEM,NC,Private (other),1,45,5/9/17,NA,May-17,Kenwood Village Water,CA4910025,IOU,E. coli,Quality,0,1,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-122.546176,38.414022,Both,GW,GW,1000,3.6734693877551026,96.3265306122449,85.1963746223565,0,14.803625377643503,0,0,0,NA,4.588604679594567,95.41139532040545,85.48905678388375,0.02070578504296643,14.203382847737275,0,0,0.21555893490603026,NA
DISTRICT 18 - SONOMA,SONOMA,CA4901311,MARK WEST NEIGHBORHOOD CHURCH,NC,Private (other),3,60,10/18/18,NA,Oct-18,Town of Windsor,CA4910017,City,E. coli in source,Quality,0,1,0,0,0,private,Voluntary Consolidation,Physical,Voluntary,NA,-122.778232,38.523685,Both,GW,GW,28397,13.793103448275861,86.20689655172413,62.46105919003115,0,3.8161993769470404,0,0.8566978193146416,27.41433021806853,40294,24.903996244316833,75.09600375568317,57.11594300149009,0.4760933052525016,2.0273642833800944,0.861351067485152,0.21844352314627224,35.38515075218055,NA
LPA80 - STANISLAUS COUNTY,STANISLAUS,CA5000271,BUEHNER WATER SYSTEM-WEBER COMPLEX,C,Private (other),9,30,9/21/2018,NA,Sep-18,City of Patterson,CA5010017,City,E. coli in source,Quality,0,1,0,0,0,private,Voluntary Consolidation,Physical,Voluntary,NA,-121.1273218,37.4842802,Both,GW,GW,23764,47.00239808153477,52.99760191846523,4.630650496141125,0,0,0,0,94.37706725468577,41446,33.10369994024849,66.89630005975151,25.162000020919923,2.1736258575003715,2.293263974660912,0.011714063529283612,0.27717080402386934,68.42083843728736,NA
LPA58 - NAPA COUNTY,"NAPA",CA2800538,CARNEROS INN,C,Private (other),1,30,7/20/2021,NA,Jul-21,City of Napa,CA2810003,City,Exceeded GW use allowed,NA,1,0,0,0,0,Private,NA,NA,Voluntary,NA,NA,NA,Excel,GW,SW,86906,24.466019417475728,75.53398058252428,82.97101449275362,1.0144927536231882,7.971014492753622,5.072463768115942,0,2.753623188405797,119107,39.46368627269044,60.536313727309555,54.541389800535654,0.7923096962280054,2.7070347540251656,0.23806910420710553,0.0749037195863731,38.378341897009506,NA
DISTRICT 03 - MENDOCINO,LAKE,CA1700581,CACHE CREEK MOBILE HOME PARK,C,MHP,42,150,9/16/2021,NA,Sep-21,KONOCTI COUNTY WATER DISTRICT,CA1710006,County Water District,Fire damage,Disaster,0,0,0,1,0,Private,NA,NA,Voluntary,NA,NA,NA,Excel,SW,SW,5928,34.196891191709845,65.80310880829016,40.78817733990148,0,0.3448275862068966,0,0,57.0935960591133,43656,35.63711369851557,64.36288630148442,47.741279167275266,0.5547739476232371,0.49838149957155314,3.160023640914425,0,44.2268159490953,NA
DISTRICT 18 - SONOMA,SONOMA,CA4900890,REDWOOD ADVENTIST ACADEMY,NTNC,School,3,140,NA,Nov-17,Nov-17,CALIFORNIA-AMERICAN LARKFIELD,CA4910023,IOU,Fire impacted,Disaster,0,0,0,1,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-122.740314,38.502131,Tool,GW,GW,7524,11.951219512195122,88.04878048780488,83.96396396396396,0.990990990990991,1.8018018018018018,0,0,7.837837837837839,128375,28.46287850932945,71.53712149067056,68.19567891539555,0.40045941214448716,2.1611490314341557,0,0.3397622969425942,23.756669961420073,NA
DISTRICT 03 - MENDOCINO,LAKE,CA1700544,COBB AREA CWD - BONANZA SPRINGS,C,CSA,180,594,8/18/18,Aug.2018,Aug-18,Cobb Area County Water District,CA1710012,County Water District,Fire impacts,Disaster,0,0,0,1,0,SWRCB,Regionalization,Physical,Voluntary,https://www.waterboards.ca.gov/drinking_water/certlic/drinkingwater/docs/Cobb_story.pdf,-122.698112,38.8619308,Both,GW,GW,3308,14.692982456140353,85.30701754385966,89.53488372093024,1.9767441860465116,0,0,0,3.953488372093023,52287,15.972040261143105,84.02795973885688,91.13516217294618,0.026403659913082238,0,9.304535147841106e-6,0,8.838362056993319,116550.16980350295
District 23 - Fresno,FRESNO,CA1000285,WASHINGTON COLONY SCHOOL,NTNC,School,12,550,6/28/19,NA,Jun-19,Washington HS,CA1000221,JPA,"Gross Alpha, 123-TCP",Quality,0,1,0,0,0,SWRCB,Voluntary Consolidation,Physical,Voluntary,https://www.waterboards.ca.gov/drinking_water/certlic/drinkingwater/documents/partnership_success/easton_jpa.pdf,-119.7885131,36.649475,Both,GW,GW,1000,34.844192634560905,65.15580736543909,34.41108545034642,0,0.4618937644341801,0,0,64.2802155504234,76422,34.84419263456091,65.15580736543909,34.41108545034643,0,0.46189376443418023,0,0,64.2802155504234,76422
LPA63 - RIVERSIDE COUNTY,RIVERSIDE,CA3301735,WALLER TRACT WATER DISTRICT,C,MWC,88,350,5/2/19,NA,May-19,Indio Water Authority,CA3310020,City,Hexavalent chromium,Quality,0,1,0,0,0,SWRCB,Voluntary Consolidation,Physical,Voluntary,NA,-116.214574,33.72952097,Both,GW,GW,79114,45.604395604395606,54.395604395604394,9.319371727748692,0,2.513089005235602,0,0,88.1675392670157,36094,29.755044152810644,70.24495584718936,24.886444433709254,3.7754363466016927,2.51670571440523,0.11263399772082387,0,67.13231030541586,NA
DISTRICT 03 - MENDOCINO,LAKE,CA1700501,ADAMS SPRINGS WATER DISTRICT,C,Water District,77,99,8/18/18,Aug.2018,Aug-18,Cobb Area County Water District,CA1710012,County Water District,historic E.coli issues and source capacity,Multiple,1,1,0,0,0,TA/SWRCB,Regionalization,Physical,Voluntary,https://www.waterboards.ca.gov/drinking_water/certlic/drinkingwater/docs/Cobb_story.pdf,-122.7276252,38.84671579,Both,GWP,GW,3308,11.224489795918368,88.77551020408163,88.88888888888889,0,0,0,0,11.11111111111111,138138,15.972040261143105,84.02795973885688,91.13516217294618,0.026403659913082238,0,9.304535147841106e-6,0,8.838362056993319,116550.16980350295
DISTRICT 05 - MONTEREY,SANTA CRUZ,CA4410015,SLVWD-LOMPICO,C,County Water District,500,0,8/23/2018,NA,Aug-18,San Lorenzo Valley Water District,CA4410014,County Water District,historic HAA5 violations & source capacity issues,Multiple,1,1,0,0,0,SWRCB-drought intertie,Voluntary Consolidation,Physical,Voluntary,NA,-122.0479782,37.1112697,Both,GW,SW,21145,16.11764705882353,83.88235294117648,74.90676611614278,1.4917421417155035,2.930207778369739,0,0,11.08151305274374,102845,26.16396840759333,73.83603159240668,80.11329831350018,0.5788581112049919,1.3024127056605308,0.3576753199174471,0.3100180301334718,12.798648380142986,107090.51803165452
DISTRICT 21 - VALLEY,SUTTER,CA5100176,CALVARY CHRISTIAN CENTER,NTNC,Private (other),1,245,10/22/2018,NA,Oct-18,City of Yuba City,CA5110002,City,"historic nitrate, low level perchlorate",Quality,0,1,0,0,0,private,Voluntary Consolidation,Physical,Voluntary,NA,-121.664779,-121.664779,Both,GW,SW,73202,16.06217616580311,83.93782383419689,68.5981308411215,0,0,0,0,31.401869158878505,70208,54.59062690327033,45.40937309672967,42.372117325037586,2.7397434451521803,13.204740041235748,1.0348049277588822,0.3169474308366674,35.44920018757972,NA
DISTRICT 02 - LASSEN,LASSEN,CA1805009,WEST PATTON VILLAGE CSD,C,CSD,155,465,3/14/18,NA,Mar-18,Herlong Public Utility District,CA1805007,PUD,"historic TMF failures, old infrastructure",TMF Capacity,0,0,1,0,0,SWRCB,Voluntary Consolidation,Physical,Voluntary,NA,-120.1583517,40.1395117,Both,GWP,GW,2114,37.66519823788546,62.33480176211453,79.12087912087912,10.18981018981019,0,7.292707292707293,0,3.3966033966033966,50588,93.16808727800095,6.8319127219990445,37.84390983441753,18.60525977187284,1.8209522175523587,5.295648999247022,0.2101098712560414,31.881848633029342,55629.44312425056
LPA66 - SAN BERNARDINO COUNTY,SAN BERNARDINO,CA3601060,ROBERTSON'S READY MIX INC,NTNC,Private (other),1,100,2/22/18,NA,Feb-18,East Valley Water District,CA3610064,County Water District,historic uranium/gross alpha,Quality,0,1,0,0,0,private,Voluntary Consolidation,Physical,Voluntary,NA,-117.206565,34.1030142,Both,GW,SW,103000,9.12280701754386,90.87719298245615,33.60120542440985,1.757910597689603,4.118533400301356,0,0,48.06629834254144,72917,44.85793789865517,55.14206210134483,22.215854564793954,11.261482133165517,5.591070727571581,0.24099728287186928,0.5808945369137284,56.98710257199551,NA
DISTRICT 24 - TULARE,TULARE,NA,RESIDENTS OF MONSON-INDIVIDUAL WELL CONSOLIDATION PROJECT,NA,Domestic wells,34,140,NA,May.17,May-17,Monson Water System,CA5403212,CSD,Inadequate Capacity/Nitrate,Multiple,1,1,0,1,0,"SWRCB, DWR, USDA",Domestic well consolidation,Physical,Voluntary,NA,-119.33742,36.494021,Both,NA,GW,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.86451412809135,62.13548587190865,33.99826082471642,0,0,0,0,64.7629952041583,51356.120344655545
DISTRICT 03 - MENDOCINO,LAKE,CA1700516,LAKE COUNTY CSA 16 - PARADISE VALLEY,C,CSA,72,133,5/29/19,NA,May-19,Clearlake Oaks CWD,CA1710001,County Water District,Inadequate source capacity,Capacity,1,0,0,0,0,"IRWM, System funds",Voluntary Consolidation,Physical,Voluntary,NA,-122.753025,39.04182,Both,GW,SW,2359,34.21926910299003,65.78073089700996,66.16231086657497,0.1375515818431912,20.495185694635488,0,0,10.041265474552958,70221,32.967496166083414,67.03250383391659,82.46290384900617,0.053689862256961006,2.7478240236265083,1.2167832491492785,0,13.311273399516846,55363.09121965724
"
DISTRICT 11 - MERCED",MADERA,CA2010014,HILLVIEW WATER CO-GOLDSIDE,C,IOU,309,1020,NA,Jun-20,Jun-20,CAL AM - GOLDSIDE,CA2010014,IOU,"IRON, MANGANESE",Quality,0,1,0,0,0,None,Managerial,Managerial,Voluntary,NA,-119.7172959,37.34688678,Both,GW,GW,1020,26.42706131078224,73.57293868921776,82.23938223938224,0,1.698841698841699,0,0,14.208494208494207,68814,27.624234963208472,72.37576503679153,86.18484265856962,0,0.9369131480758143,0,0,10.494217100419792,67784.00654422346
LPA39 - EL DORADO COUNTY,EL DORADO,CA0900581,"NATIONAL 9",NC,Private (other),2,63,10/15/2021,NA,Oct-21,SOUTH TAHOE PUD - MAIN,CA0910002,PUD,LACK OF SECONDARY WATER SOURCE,Sustainability,0,0,0,0,1,Private,NA,NA,Voluntary,NA,NA,NA,Excel Dec 2021 update,GW,GW,121124,96.8503937007874,3.149606299212598,19.577735124760075,0,22.648752399232247,0,0,52.783109404990405,NA,47.85091019580782,52.14908980419217,65.39620759494996,0.6259236038519519,5.230386207376091,0.1207859482393177,0.07725800661849254,25.028566276663216,NA
District 09- Sacramento,NEVADA,CA2910007,NEVADA ID - CASCADE SHORES,C,ID,393,959,8/31/17,NA,Aug-17,Nevada ID-E. George,CA2910004,Irrigation District,"Landslide, Preventative for DBPs",Multiple,0,0,0,1,1,Private,Voluntary Consolidation,Physical,Voluntary,NA,-120.909277,39.263953,Both,SW,SW,17233,12.128712871287128,87.87128712871286,91.60762942779292,0,0,0,0,7.956403269754768,72375,52.15875317352001,47.84124682647999,81.34776131576201,0.374597271529958,1.4821047908739802,0.07501202753299675,0.20919723345066005,13.019449857354774,NA
District 23 - Fresno,FRESNO,CA1000276,ORANGE CENTER SCHOOL,NTNC,School,3,410,6/27/19,NA,Jun-19,City of Fresno,CA1010007,City,Lead,Quality,0,1,0,0,0,SWRCB,Voluntary Consolidation,Physical,Voluntary,NA,-119.780911,36.682749,Both,GW,SW,541990,56.49717514124294,43.50282485875706,18.39080459770115,0.7662835249042145,6.0536398467432955,0,0,71.80076628352491,66023,52.8287838442273,47.171216155772704,27.085185627075436,6.800447794330319,12.812728259303027,0.46729802597899694,0.14043566180375386,50.015470899927216,NA
LPA75 - SHASTA COUNTY,SHASTA,CA4500084,MCARTHUR MOBILEHOME PARK,C,MHP,41,99,NA,Oct-16,Oct-16,FALL RIVER VALLEY C.S.D.,CA4510008,CSD,Manganese,Quality,0,1,0,0,0,SWRCB,Voluntary Consolidation,Physical,Voluntary,NA,-121.396952,41.051763,Tool,GW,GW,1535,43.722943722943725,56.27705627705628,60.57692307692307,0.4370629370629371,0.4370629370629371,0.9615384615384616,0,24.03846153846154,41000,43.58362841232949,56.416371587670525,60.634779871163644,0.43715764802488477,0.4606124649409139,0.9931824815282561,0,23.962053185380658,41044.854094363065
LPA49 - LA COUNTY,LOS ANGELES,CA1900009,ADAMS RANCH MUTUAL,C,MWC,177,500,NA,March.2016,Mar-16,CAL/AM WATER COMPANY - SAN MARINO,CA1910139,IOU,MONITORING & REPORTING,TMF Capacity,0,0,1,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-118.0668405,34.0873692,Tool,GW,SWP,47626,43.5960591133005,56.40394088669951,1.4647137150466045,0.06657789613848203,68.641810918774965,0,0,29.82689747003995,72500,38.6329108578862,61.3670891421138,14.28280373737435,0.697804649211444,54.78397257905081,0.45308648059629897,0.15144110435929325,27.858629634162053,NA
DISTRICT 17 - SANTA CLARA,SANTA CLARA,CA4300504,ARROWHEAD COOPERATIVE COMPANY,C,IOU,39,109,8/26/19,NA,Aug-19,San Jose Water Company,CA4310011,IOU,Monitoring & Reporting,TMF Capacity,0,0,1,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-122.0537117,37.2880083,Both,SWP,SW,1007514,24.335664335664337,75.66433566433567,13.743293437886916,0,79.94222038794882,0,0,0,250001,43.038925730049925,56.961074269950075,29.25530514120385,2.5633290109967026,33.90600544082178,0.1439779403851902,0.42417833944048056,29.975430524449525,NA
"
DISTRICT 11 - MERCED",MADERA,CA2010013,HILLVIEW WATER CO- COARSEGOLD,C,IOU,25,83,NA,Jun-20,Jun-20,CAL AM - COARSEGOLD,CA2010013,IOU,MONITORING & REPORTING,TMF Capacity,0,0,1,0,0,None,Managerial,Managerial,Voluntary,NA,-119.7036,37.217101,Both,GW,GW,83,9.214659685863873,90.78534031413612,73.84997927890593,0.7045171985080813,0,2.818068794032325,0,17.239950269374223,82641,9.214659685863873,90.78534031413612,73.84997927890593,0.7045171985080811,0,2.8180687940323246,0,17.239950269374223,82641
District 01 - Klamath,TRINITY,CA5301003,LEWISTON PARK MWC,C,MWC,168,551,7/1/18,NA,Jul-18,Lewiston CSD,CA5301002,CSD,monitoring violation,TMF Capacity,0,0,1,0,0,SWRCB,Voluntary Consolidation,Physical,Voluntary,NA,-122.8101756,40.69910505,Both,GW,SW,701,30.570902394106813,69.42909760589319,82.41758241758241,0.07326007326007326,7.7655677655677655,1.465201465201465,0,3.223443223443224,47098,30.566487441037015,69.43351255896297,76.45944575812999,0.006728042997257872,1.1192063340524476,18.406080795385254,0,1.514135220908686,47349.393198768215
LPA34- Butte County,BUTTE,CA0400066,DURHAM UNIFIED SCHOOL DISTRICT,NTNC,School,18,1200,8/30/17,NA,Aug-17,Durham Irrigation,CA0410003,Irrigation District,Nitrate,Quality,0,1,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-121.8020703,39.6475502,Both,GW,GW,1561,22.727272727272727,77.27272727272727,92.8895612708018,0,4.387291981845689,0,0,2.723146747352496,103462,38.068429338716065,61.93157066128394,82.29053663326192,8.127185810683745,2.079586104003223,0,0,1.0433879304985858,NA
LPA37- Contra Costa County,CONTRA COSTA,CA0706108,LONE TREE MEDICAL & DENTAL,NC,Private (other),2,45,8/2/2018,NA,Aug-18,City of Brentwood,CA0710004,City,Nitrate,Quality,0,1,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-121.744998,37.960949,Both,GW,SWP,65118,20.151515151515152,79.84848484848484,23.522683949675944,1.4105985512771635,32.78688524590164,0.7243614182234084,0,39.38238658025162,106652,22.88658343445651,77.1134165655435,50.839291388469995,9.203813757794023,10.476932315631581,0.5533237986238809,0.5263759480094359,22.516961052994954,NA
LPA37- Contra Costa County,CONTRA COSTA,CA0707557,NEIGHBORHOOD CHURCH,NTNC,Private (other),2,250,4/22/19,NA,Apr-19,City of Brentwood,CA0710004,City,Nitrate,Quality,0,1,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-121.690034,37.931527,Both,GW,SWP,65118,47.97178130511463,52.02821869488537,43.33507579717721,11.291165708311553,0,7.318348144276006,6.1160480920020905,28.01881860951385,87546,22.88658343445651,77.1134165655435,50.839291388469995,9.203813757794023,10.476932315631581,0.5533237986238809,0.5263759480094359,22.516961052994954,NA
District 23 - Fresno,FRESNO,CA1000207,CENTRAL WEST ARTS CENTER,C,School,7,56,12/11/2018,NA,Dec-18,Central High School West,CA1000217,School,Nitrate,Quality,0,1,0,0,0,SWRCB,Voluntary Consolidation,Physical,Voluntary,NA,-119.9873046,36.7647094,Both,GW,GW,1127,37.71626297577855,62.28373702422145,43.24468085106383,1.5957446808510638,7.3936170212765955,0,0,43.45744680851064,54022,37.786165777824834,62.21383422217516,43.3683919410832,1.5835361536985246,7.337050845469831,0,0,43.43547344476244,NA
LPA57 - MONTEREY COUNTY,MONTEREY,CA2702624,UNI-KOOL WS,NTNC,Private (other),6,180,7/12/17,NA,Jul-17,Cal-Water,CA2710010,IOU,Nitrate,Quality,0,1,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-120.7617451,35.81280886,Both,GW,GW,106858,78.94736842105263,21.052631578947366,0,0,0,0,0,100,NA,51.1718693236815,48.8281306763185,15.885303262631453,1.363246238387732,7.150721737156163,0.1056079401504117,0.09351481399045344,73.4893359921961,NA
