Regulating_agency,County,SystemID,System_Name,System_Type,Institution_type,Connections,Population,Inactivation_Date,Activity_date_from_tool,Date_combined,Receiving_Water_System,Receiving_System_ID,Receiving_System_Institution_Type,Issue_SWRCB,Issue_summary,Issue_capacity,Issue_quality,Issue_TMF,Issue_disaster,Issue_sustainability,Funding_Source,Consolidation_Type,Physical_or_Mangerial,Mandatory_or_voluntary,Story_link,long,lat,Data_source,Notes,Notes_Suzanne,Remove?,2016_proxydata_pop_con_type_county,Number_systems_involved,Unique_project,Consolidatedsystem_primary_source_combined,EPA_2021_source,Consolidatedsystem_primary_source_combinedFINAL,Receiving_2021_source,Receiving_2021_pop,Receiving_2021_systemtype,Distance(m),Prox_ord,CES_Receiving_Polygon,DistNote,Vetted_address,GEOID,NAME,Race.estimate.total.x,B03002_001M,Race.white.alone.x,B03002_003M,Race.black.alone.x,B03002_004M,Race.native.alone.x,B03002_005M,Race.asian.alone.x,B03002_006M,Race.PI.alone.x,B03002_007M,Race.hispanicorlatino.x,B03002_012M,Median.hh.income,B19013_001M,Tenure.estimate.total.x,B25003_001M,Tenure.owner.x,B25003_002M,Tenure.renter.x,B25003_003M,Households.total.x,B11001_001M,SHAPE_Leng_receiving,SHAPE_Area_receiving,Households.total.y,Income.aggregatecount,Race.asian.alone.y,Race.black.alone.y,Race.estimate.total.y,Race.hispanicorlatino.y,Race.native.alone.y,Race.PI.alone.y,Race.white.alone.y,Tenure.estimate.total.y,Tenure.owner.y,Tenure.renter.y
LPA69 - SAN JOAQUIN COUNTY,SAN JOAQUIN,CA3901334,BJJ COMPANY LLC,NTNC,Private (other),1,40,6/19/19,NA,Jun-19,California Water Service - Stockton,CA3910001,IOU,Arsenic,Quality,0,1,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-121.2613068,37.9611702,Both,NA,NA,No,No,2,Yes,GW,NA,GW,SWP,173272,Community water system,NA,NA,NA,NA,2431 E Mariposa Rd Stockton CA 95205,060770021002,"Block Group 2, Census Tract 21, San Joaquin County, California",1135,368,0,13,187,132,0,13,74,109,0,13,874,356,37500,25915,384,116,208,87,176,94,384,116,100352.00064,162040975.289,51307.50251022039,NA,15457.424542693201,14752.066846315245,164219.12095614392,99747.6548246033,240.3736686836471,357.30256332698116,28408.412106663098,51307.50251022039,21445.319469315586,29862.183040904805
LPA67 - SAN DIEGO COUNTY,SAN DIEGO,CA3705026,ERRECA'S ASSOCIATES,NC,Private (other),7,25,8/26/19,NA,Aug-19,Lakeside WD,CA3710013,Irrigation District,None,None,0,0,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-116.9462983,32.90652,Both,NA,NA,No,No,2,Yes,GW,NA,GW,SWP,35500,Community water system,512.5850887,1,NA,"PWSID was right, name wrong - changed",12570 Slaughterhouse Canyon Rd. Lakeside CA 92040,060730169011,"Block Group 1, Census Tract 169.01, San Diego County, California",1262,303,1074,275,0,13,16,33,67,62,0,13,105,89,120754,25164,437,96,423,95,14,24,437,96,104993.91222,36744918.3917,5990.1972487978355,NA,201.63806104062851,340.898640996013,17652.349538612678,4484.2558764559835,243.9384115714823,86.18388795003928,11476.494411324697,5990.1972487978355,3569.9494538775825,2420.2477949202535
NA,SOLANO,CA4810701,TRAVIS AIR FORCE BASE - DISTRIBUTION,C,Federal,2104,7190,Jul-19,NA,Jul-19,CALIFORNIA WATER SERVICE CO.-TRAVIS AFB,CA4810701,IOU,NA,NA,NA,NA,NA,NA,NA,NA,Managerial,Managerial,Voluntary,NA,NA,NA,Additional cases,https://www.calwater.com/latest-news/2019-0701-regulated-water-service-to-travis-air-force-base-begins/,Yes,No,Yes,NA,Yes,NA,SWP,SWP,SWP,7190,Community water system,NA,NA,NA,NA,690 Airmen Dr Travis AFB CA 94535,060952528021,"Block Group 1, Census Tract 2528.02, Solano County, California",805,283,318,174,104,74,0,13,16,26,144,168,175,81,62031,25367,158,75,0,13,158,75,158,75,34989.8873594,37674405.1635,1083.4049849410223,NA,450.90418787689305,444.86472539460135,3998.3053928687696,603.8229600433733,0,281.167012811629,1948.3162270095393,1083.4049849410223,225.84945230612826,857.5555326348942
LPA69 - SAN JOAQUIN COUNTY,SAN JOAQUIN,CA3901330,CHEROKEE FREIGHT LINES WATER SYSTEM,NC,Private (other),1,50,9/19/19,NA,Sep-19,California Water Service- Stockton,CA3910001,IOU,bacteriological,Quality,0,1,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-121.253866,37.991519,Both,NA,NA,No,No,2,Yes,GW,NA,GW,SWP,173272,Community water system,NA,NA,NA,NA,3655 E CHEROKEE RD STOCKTON CA 95205,060770036012,"Block Group 2, Census Tract 36.01, San Joaquin County, California",1016,268,334,114,12,18,0,13,69,125,43,48,558,198,42708,27362,388,96,323,89,65,58,388,96,100352.00064,162040975.289,51307.50251022039,NA,15457.424542693201,14752.066846315245,164219.12095614392,99747.6548246033,240.3736686836471,357.30256332698116,28408.412106663098,51307.50251022039,21445.319469315586,29862.183040904805
DISTRICT 18 - SONOMA,SONOMA,CA4910024,GEYSERVILLE WATER WORKS,C,IOU,307,1014,NA,Nov-16,Nov-16,CALIFORNIA-AMERICAN GEYSERVILLE,CA4910024,IOU,bacteriological,Quality,0,1,0,0,0,Private,Managerial,Managerial,Voluntary,NA,-122.9045833,38.7070558,Tool,NA,NA,No,No,NA,Yes,NA,GW,GW,GW,1014,Community water system,NA,NA,NA,NA,21060 GEYSERVILLE AVENUE GEYSERVILLE CA 95441,060971541001,"Block Group 1, Census Tract 1541, Sonoma County, California",706,214,524,190,0,13,0,13,14,15,0,13,141,108,111085,22414,272,97,168,82,104,57,272,97,8950.68921384,1725106.61329,7.473321833667028,853168.2004546465,0.3019482962095647,0,19.217866285161183,3.6158004856011203,0,0,14.14631378588028,7.473321833667028,4.907151160898126,2.566170672768902
DISTRICT 18 - SONOMA,SONOMA,CA4900890,REDWOOD ADVENTIST ACADEMY,NTNC,School,3,140,NA,Nov-17,Nov-17,CALIFORNIA-AMERICAN LARKFIELD,CA4910023,IOU,Fire impacted,Disaster,0,0,0,1,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-122.740314,38.502131,Tool,NA,NA,No,No,2,Yes,GW,NA,GW,GW,7524,Community water system,NA,NA,NA,NA,385 Mark West Springs Road SANTA ROSA CA 95404,060971527021,"Block Group 1, Census Tract 1527.02, Sonoma County, California",1110,286,932,259,11,21,0,13,20,32,0,13,87,94,128375,27392,410,100,361,96,49,42,410,100,29229.7751196,13091567.9667,1655.9163512596772,NA,96.6136188926685,17.902436372578464,4470.474617317573,1062.0359005451928,0,15.188987244033832,3048.6705160201495,1655.9163512596772,1184.5948919845143,471.32145927516297
DISTRICT 05 - MONTEREY,MONTEREY,CA2710706,CAMP ROBERTS WELL 6A,NC,State,6,115,3/2/18,NA,Mar-18,Camp Roberts-National Guard,CA2710705,State,None,None,0,0,0,0,0,Other,Voluntary Consolidation,Physical,Voluntary,NA,-121.6681888,36.6810245,Both,NA,NA,No,No,2,Yes,GW,NA,GW,GW,385,Non-Transient non-community system,NA,NA,NA,Not in top 50,6303 Montana Rd. San Miguel CA 93451,060790100173,"Block Group 3, Census Tract 100.17, San Luis Obispo County, California",2786,548,2027,687,327,322,9,15,26,28,14,24,266,210,70436,15621,787,152,688,152,99,71,787,152,16633.5668361,9442677.055,15.242727808413667,1072372.795442978,0.757339312129934,6.242987857063351,56.284623601599364,6.157893227001567,0.19528718897435637,0.2526781959235825,40.2306769339709,15.242727808413667,13.066771555489064,2.1759562529246024
District 11 - Merced,MERCED,CA2410306,CDPR-MEDEIROS,NC,State,3,0,4/25/18,NA,Apr-18,CDPR-Section Wide Potable Water Tanks                     (Three park systems consolidated into one),CA2410305,State,None,None,0,0,0,0,0,Other,Voluntary Consolidation,Physical,Voluntary,NA,-121.0236627,37.06508001,Both,Changed system type to NC (in tool) from NP (in excel data) and also changed population served to zero was 540 listed as ish in excel data. Look into if this should be listed as regionalization,NA,No,No,3,CDPR,SWP,NA,SWP,SWP,171,Transient non-community system,NA,NA,NA,NA,28960 Gonzaga Rd. Santa Nella CA 95322,060470021001,"Block Group 1, Census Tract 21, Merced County, California",1715,569,728,298,0,13,0,13,0,13,20,39,948,473,53150,16684,509,149,185,83,324,131,509,149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
District 11 - Merced,MERCED,CA2410307,CDPR-DINOSAUR POINT,NC,State,3,0,4/25/18,NA,Apr-18,CDPR-Section Wide Potable Water Tanks                     (Three park systems consolidated into one),CA2410305,State,None,None,0,0,0,0,0,Other,Voluntary Consolidation,Physical,Voluntary,NA,-121.211628,37.065095,Both,"Three park systems consolidated into one says excel yearly data, system type listed as NP and I changed the population served to zero to match partnerships tool data, there was a number around 300 I think in excel data originally. Look into if this shoudl be listed as regionalization",NA,No,No,3,CDPR,SWP,NA,SWP,SWP,171,Transient non-community system,NA,NA,NA,NA,38787 Dinosaur Point Rd. Hollister CA 95023,060855135001,"Block Group 1, Census Tract 5135, Santa Clara County, California",1225,274,644,213,10,15,0,13,116,124,0,13,435,215,121213,27062,347,54,251,50,96,48,347,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
District 11 - Merced,MARIPOSA,CA2202048,INDIAN FLAT R V PARK AND CAMPGROUND,NC,MHP,53,100,3/14/17,NA,Mar-17,Cedar Lodge Resort,CA2210900,Private (other),TCR/Nitrate,Quality,0,1,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-119.848992,37.661214,Both,Excelle data sheets listed type as NP,NA,No,No,2,Yes,GW,NA,GW,GW,656,Community water system,155.9817901,1,NA,NA,9988 CA-140 El Portal CA 95318,060430003021,"Block Group 1, Census Tract 3.02, Mariposa County, California",534,211,323,104,0,13,105,112,0,13,0,13,93,138,40469,27456,267,94,199,77,68,73,267,94,1649.56663257,81430.5724679,0.03286980676782608,1330.208210087154,0,0,0.06573961353565216,0.011449033818006838,0.01292632850420127,0,0.03976384863673343,0.03286980676782608,0.024498470212724312,0.008371336555101774
District 23 - Fresno,FRESNO,CA1000207,CENTRAL WEST ARTS CENTER,C,School,7,56,12/11/2018,NA,Dec-18,Central High School West,CA1000217,School,Nitrate,Quality,0,1,0,0,0,SWRCB,Voluntary Consolidation,Physical,Voluntary,NA,-119.9873046,36.7647094,Both,NA,NA,No,No,2,Yes,GW,NA,GW,GW,1127,Non-Transient non-community system,1180.760907,2,NA,NA,10950 W MCKINLEY FRESNO CA 93722,060190041001,"Block Group 1, Census Tract 41, Fresno County, California",1880,557,813,226,30,36,0,13,139,121,0,13,817,534,54022,24001,578,121,360,79,218,111,578,121,2361.35020982,305052.733719,1.6613992366082841,NA,0.39639855765498117,0.0855536455370463,5.40269606963038,2.3466866166255276,0,0,2.3430624068628005,1.6613992366082841,1.0336201668319616,0.6277790697763225
LPA80 - STANISLAUS COUNTY,STANISLAUS,CA5000077,CERES WEST MHP,C,MHP,46,161,8/21/20,NA,Aug-20,"CERES, CITY OF",CA5010028,City,"Arsenic and 1,2,3-TCP MCL Drinking Water Violations",Quality,0,1,0,0,0,Private,Mandatory consolidation,Physical,Mandatory,HTTPS://WWW.WATERBOARDS.CA.GOV/DRINKING_WATER/CERTLIC/DRINKINGWATER/DOCS/CERES_STORY_ACC.PDF,-120.9578627,37.5657347,Both,Excel data said system type of NP,NA,No,No,2,Yes,GW,NA,GW,GW,48706,Community water system,971.3157508,5,NA,NA,2048 E GRAYSON ROAD CERES CA 95307,060990030021,"Block Group 1, Census Tract 30.02, Stanislaus County, California",1581,712,425,287,0,13,0,13,45,69,0,13,1085,715,67174,11031,409,164,248,124,161,112,409,164,35610.219176,24440450.4274,10371.2353070879,NA,1041.3672276056411,939.3676909696425,36077.244838285245,22903.330678776343,280.21634592839314,264.0204631772642,9838.455589718636,10371.2353070879,5845.371517550197,4525.863789537703
District 12 - Visalia,KERN,CA1500508,TWIN PINES MOBILEHOME PARK,C,MHP,40,92,6/5/17,NA,Jun-17,City of Bakersfield,CA1510031,City,None,None,0,0,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-119.081399,35.382306,Both,NA,NA,No,No,2,Yes,GW,NA,GW,SWP,149796,Community water system,15.03698165,2,1,NA,15 Wedding Ln. Bakersfield CA 93315,060290005072,"Block Group 2, Census Tract 5.07, Kern County, California",1576,540,752,269,1,9,0,13,108,105,0,13,491,344,68600,15269,506,144,357,134,149,88,506,144,169016.632838,229855924.37,46568.33935259766,NA,14985.078678645228,7885.26542765511,142585.4157875064,57117.284085286505,369.9040789377674,315.88659619987595,56647.95610247807,46568.33935259766,31115.702497482063,15452.636855115596
LPA37- Contra Costa County,CONTRA COSTA,CA0706108,LONE TREE MEDICAL & DENTAL,NC,Private (other),2,45,8/2/2018,NA,Aug-18,City of Brentwood,CA0710004,City,Nitrate,Quality,0,1,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-121.744998,37.960949,Both,NA,NA,No,No,2,Yes,GW,NA,GW,SWP,65118,Community water system,1522.171266,3,1,NA,6061 Lone Tree Way Brentwood CA 94513,060133032092,"Block Group 2, Census Tract 3032.09, Contra Costa County, California",2623,864,617,292,37,71,19,29,860,543,0,13,1033,824,106652,41718,660,263,527,264,133,76,660,263,56705.0512425,63451168.7889,16665.309476580467,NA,5403.524439384807,4746.907880810154,51575.444763757325,11613.222810364163,285.3792101239835,271.4807363153106,26220.59064834598,16665.309476580467,12851.189518612493,3814.1199579679765
LPA37- Contra Costa County,CONTRA COSTA,CA0707557,NEIGHBORHOOD CHURCH,NTNC,Private (other),2,250,4/22/19,NA,Apr-19,City of Brentwood,CA0710004,City,Nitrate,Quality,0,1,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-121.690034,37.931527,Both,NA,NA,No,No,2,Yes,GW,NA,GW,SWP,65118,Community water system,NA,NA,NA,NA,50 Birch St. Brentwood 94513,060133031072,"Block Group 2, Census Tract 3031.07, Contra Costa County, California",1913,505,829,371,216,194,140,107,0,13,117,149,536,353,87546,43879,567,145,295,126,272,130,567,145,56705.0512425,63451168.7889,16665.309476580467,NA,5403.524439384807,4746.907880810154,51575.444763757325,11613.222810364163,285.3792101239835,271.4807363153106,26220.59064834598,16665.309476580467,12851.189518612493,3814.1199579679765
LPA80 - STANISLAUS COUNTY,STANISLAUS,CA5000308,B & H MANUFACTURING,NTNC,Private (other),1,90,3/29/17,NA,Mar-17,City of Ceres,CA5010028,City,"Arsenic, coliform",Quality,0,1,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-120.9658357,37.5349485,Both,"Coliform not listed on excel data but on tool, too lists coliform and arsenic as issues",NA,No,No,2,Yes,GW,NA,GW,GW,48706,Community water system,4066.801696,7,NA,NA,3461 Roeding Rd Ceres CA 95307,060990030041,"Block Group 1, Census Tract 30.04, Stanislaus County, California",2192,1738,1176,908,0,13,29,52,29,55,0,13,958,931,NA,NA,529,302,431,317,98,63,529,302,35610.219176,24440450.4274,10371.2353070879,NA,1041.3672276056411,939.3676909696425,36077.244838285245,22903.330678776343,280.21634592839314,264.0204631772642,9838.455589718636,10371.2353070879,5845.371517550197,4525.863789537703
LPA80 - STANISLAUS COUNTY,STANISLAUS,CA5000484,UNITED PALLET SERVICES INC WATER SYSTEM,NTNC,Private (other),5,45,9/24/18,NA,Sep-18,City of Ceres,CA5010028,City,Arsenic,Quality,0,1,0,0,0,private,Voluntary Consolidation,Physical,Voluntary,NA,-120.9942852,37.5788277,Both,Excel data said system type was NC,NA,No,No,2,Yes,GW,NA,GW,GW,48706,Community water system,1280.519084,2,NA,NA,4043 Crows Landing Rd Modesto CA 95358,060990031003,"Block Group 3, Census Tract 31, Stanislaus County, California",2184,565,817,267,0,13,25,23,163,231,0,13,1172,459,43864,22952,742,170,329,112,413,178,742,170,35610.219176,24440450.4274,10371.2353070879,NA,1041.3672276056411,939.3676909696425,36077.244838285245,22903.330678776343,280.21634592839314,264.0204631772642,9838.455589718636,10371.2353070879,5845.371517550197,4525.863789537703
District 21 - Valley,COLUSA,CA0600011,DEL ORO WATER CO.-WALNUT RANCH,C,IOU,78,182,4/6/17,NA,Apr-17,City of Colusa,CA0610002,City,Arsenic/Failing wells,Multiple,1,1,0,0,0,SWRCB,Voluntary Consolidation,Physical,Voluntary,https://www.waterboards.ca.gov/drinking_water/certlic/drinkingwater/documents/partnership_success/delorowalnut.pdf,-122.022335,39.20228,Both,NA,NA,No,No,2,Yes,GWP,NA,GWP,GW,6175,Community water system,NA,NA,NA,NA,316 Walnut Tree Dr. Colusa CA 95932,060110002003,"Block Group 3, Census Tract 2, Colusa County, California",1251,362,286,100,0,13,0,13,0,13,0,13,923,358,63841,7947,408,108,316,94,92,78,408,108,26592.8755189,7209140.51299,1531.9019451978688,NA,29.068641688223114,111.43204784478486,3887.6126193960913,2027.8649981992712,8.180442901512986,0.03664116389029054,1586.608458993966,1531.9019451978688,888.5388618587614,643.3630833391076
LPA82 - TEHAMA COUNTY,TEHAMA,CA5200516,LAZY CORRAL MOBILE HOME PARK,C,MHP,37,103,3/15/2021,NA,Mar-21,CITY OF CORNING,CA5210001,City,BACTERIOLOGICAL,Quality,0,1,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-122.1959048,39.9212578,Both,NA,NA,No,No,2,Yes,GW,NA,GW,GW,7663,Community water system,140.6128615,2,NA,NA,2120 FIG LANE CORNING CA 96021,061030011022,"Block Group 2, Census Tract 11.02, Tehama County, California",1624,685,467,227,0,13,19,26,52,83,0,13,1033,633,26353,10170,790,271,269,145,521,236,790,271,244639.368838,90037434.4326,745.0518675644786,32064416.726750813,22.358449990311698,15.67882373454569,1927.7064263805555,930.4544349589186,39.89329196545065,1.0084595374341787,772.0194489340151,745.0518675644786,386.8001689907071,358.2516985737714
District 01 - Klamath,HUMBOLDT,CA1200698,MOBILE ESTATES FN,C,MHP,66,120,6/26/17,NA,Jun-17,City of Eureka,CA1210004,City,DBPs,Quality,0,1,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-124.063488,40.842738,Both,Receiving system name listed as placerville city in excel data but that makes no sense and system number in web tool links to Eureka so put that,NA,No,No,2,Yes,GW,NA,GW,GWP,27078,Community water system,2893.44254,2,NA,NA,7660 MYRTLE AVE EUREKA CA 90274,060230009004,"Block Group 4, Census Tract 9, Humboldt County, California",1305,310,1179,295,0,13,38,41,37,40,0,13,48,34,46806,20201,591,109,475,104,116,60,591,109,49779.009883,78555024.4565,12953.907571553462,NA,1825.8401629419254,636.0027547402323,31294.815745110944,4496.938006480913,542.8271224803794,61.733284652806695,21381.68406350852,12953.907571553462,6139.858980826769,6814.048590726693
DISTRICT 04 - SAN FRANCISCO,SOLANO,CA4810037,SOLANO COUNTY CORDELIA STATE,NC,County (other),1,30,5/3/19,NA,May-19,City of Fairfield,CA4810003,City,Arsenic,Quality,0,1,0,0,0,Solano County,Voluntary Consolidation,Physical,Voluntary,NA,-122.1062682,38.2312779,Both,NA,NA,No,No,2,Yes,GW,NA,GW,SW,112140,Community water system,416.1414302,1,NA,NA,2543 CORDELIA RD FAIRFIELD CA 94534-1676,060952523051,"Block Group 1, Census Tract 2523.05, Solano County, California",1682,542,673,389,53,82,0,13,676,323,0,13,192,137,106927,17340,559,170,324,140,235,97,559,170,155460.705745,98404824.6157,27738.07207352181,NA,11637.776363012832,13870.127038268909,85087.25473470826,29046.392646900404,420.340059990899,1231.7337427856967,23788.414555152864,27738.07207352181,15624.390566317097,12113.681507204714
District 23 - Fresno,FRESNO,CA1000624,SUNNYSIDE MARKET,NC,Private (other),2,429,9/5/17,NA,Sep-17,City of Fresno,CA1010007,City,None,None,0,0,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-119.6628067,36.7506917,Both,NA,NA,No,No,2,Yes,GW,NA,GW,SW,541990,Community water system,113.6821938,1,NA,NA,7064 E. Belmont FRESNO CA 93727,060190059043,"Block Group 3, Census Tract 59.04, Fresno County, California",2602,627,1129,282,16,27,0,13,481,328,0,13,749,409,97917,31181,831,209,761,218,70,49,831,209,446458.144162,458896843.477,157502.87281071552,NA,61804.88326362269,32803.38687927569,482370.98307885823,241260.11867149916,2254.1100818229856,677.420882436068,130651.0761780574,157502.87281071552,74296.02058509437,83206.85222562116
District 11 - Merced,FRESNO,NA,DALEVILLE (Individual Homes),NA,Domestic wells,42,120,10/1/2018,Dec.2018,Oct-18,City of Fresno,CA1010007,City,"Nitrate, uranium, drought supply shortages",Multiple,0,1,0,1,0,DWR / CAA,Domestic well consolidation,Physical,Voluntary,https://www.waterboards.ca.gov/drinking_water/certlic/drinkingwater/documents/partnership_success/daleville.pdf,-119.7875425,36.7665762,Both,Changed pop and connections numbers based on story in consoldiation success story.,NA,No,No,1P,Yes,NA,NA,GW,SW,541990,Community water system,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,446458.144162,458896843.477,157502.87281071552,NA,61804.88326362269,32803.38687927569,482370.98307885823,241260.11867149916,2254.1100818229856,677.420882436068,130651.0761780574,157502.87281071552,74296.02058509437,83206.85222562116
District 23 - Fresno,FRESNO,CA1000276,ORANGE CENTER SCHOOL,NTNC,School,3,410,6/27/19,NA,Jun-19,City of Fresno,CA1010007,City,Lead,Quality,0,1,0,0,0,SWRCB,Voluntary Consolidation,Physical,Voluntary,NA,-119.780911,36.682749,Both,NA,NA,No,No,2,Yes,GW,NA,GW,SW,541990,Community water system,325.9947466,2,NA,NA,3530 S CHERRY FRESNO CA 93706,060190018001,"Block Group 1, Census Tract 18, Fresno County, California",1305,340,240,132,10,13,0,13,79,84,0,13,937,304,66023,38865,354,103,154,53,200,104,354,103,446458.144162,458896843.477,157502.87281071552,NA,61804.88326362269,32803.38687927569,482370.98307885823,241260.11867149916,2254.1100818229856,677.420882436068,130651.0761780574,157502.87281071552,74296.02058509437,83206.85222562116
DISTRICT 23 - FRESNO,FRESNO,CA1000496,COPPER RIVER COUNTRY CLUB,NTNC,Private (other),1,125,8/30/2021,NA,Aug-21,CITY OF FRESNO,CA1010007,City,"1,2,3 TCP",Quality,0,1,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,NA,NA,Excel,"Recently done,  not in partnership tool yet. Got  more info from regional board staff on April 20 2022",NA,No,No,2,Yes,GW,NA,GW,SW,541990,Community water system,1155.321832,1,1,NA,2140 E. Clubhouse Drive FRESNO CA 93730,060190055032,"Block Group 2, Census Tract 55.03, Fresno County, California",2241,731,844,381,20,34,0,13,1212,589,0,13,139,110,157800,68528,850,219,746,209,104,94,850,219,446458.144162,458896843.477,157502.87281071552,NA,61804.88326362269,32803.38687927569,482370.98307885823,241260.11867149916,2254.1100818229856,677.420882436068,130651.0761780574,157502.87281071552,74296.02058509437,83206.85222562116
DISTRICT 23 - FRESNO,FRESNO,CA1000646,E-Z TRIP,NP,Private (other),2,25,9/21/2021,NA,Sep-21,City of Fresno,CA1010007,City,NONE,None,0,0,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,NA,NA,Excel,"Recently done,  not in partnership tool yet, Fiarly psoitive would be with Fresno city but double check",NA,No,No,2,Yes,GW,NA,GW,SW,541990,Community water system,150.5809507,1,NA,NA,6639 Parkway Drive FRESNO CA 93722,060190042183,"Block Group 3, Census Tract 42.18, Fresno County, California",964,391,307,264,0,13,0,13,37,61,0,13,608,297,108889,71042,268,96,231,89,37,41,268,96,446458.144162,458896843.477,157502.87281071552,NA,61804.88326362269,32803.38687927569,482370.98307885823,241260.11867149916,2254.1100818229856,677.420882436068,130651.0761780574,157502.87281071552,74296.02058509437,83206.85222562116
District 23 - Fresno,FRESNO,CA1000512,YERGAT PACKING COMPANY,NTNC,Private (other),2,150,NA,June.2019,Jun-22,CITY OF FRESNO,CA1010007,City,Coliform,Quality,0,1,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-119.76196,36.6988433,Tool,NA,NA,No,No,2,Yes,GW,NA,GW,SW,541990,Community water system,0,1,1,NB -- This disappears when we filter out jurisdictional boundaries. There is no match without jurisdictional boundaries,2797 S ORANGE FRESNO CA 93725,060190015001,"Block Group 1, Census Tract 15, Fresno County, California",703,323,117,75,3,4,0,13,169,218,0,13,414,182,45208,8179,169,71,119,56,50,44,169,71,446458.144162,458896843.477,157502.87281071552,NA,61804.88326362269,32803.38687927569,482370.98307885823,241260.11867149916,2254.1100818229856,677.420882436068,130651.0761780574,157502.87281071552,74296.02058509437,83206.85222562116
District 23 - Fresno,FRESNO,CA1000248,DOUBLE L MOBILE RANCH PARK,C,MHP,37,80,4/16/20,NA,Apr-20,City of Kerman,CA1010018,City,"Uranium; 1,2,3-TCP",Quality,0,1,0,0,0,SWRCB,Voluntary Consolidation,Physical,Voluntary,HTTPS://WWW.WATERBOARDS.CA.GOV/DRINKING_WATER/CERTLIC/DRINKINGWATER/DOCUMENTS/PARTNERSHIP_SUCCESS/DOUBLE_L_MHP_CONSOL.DOCX,-119.996395,36.7133135,Both,Downloaded excel data said NP as system type. Partnerships tool data only lists uranium as the issue,NA,No,No,2,Yes,GW,NA,GW,GW,15282,Community water system,4172.192308,2,NA,NA,11470 W CHURCH AVE FRESNO CA 93706,060190039005,"Block Group 5, Census Tract 39, Fresno County, California",1015,506,312,124,26,41,0,13,0,13,0,13,628,501,61827,9535,297,97,220,81,77,56,297,97,21602.2063283,12343682.7627,1778.4331866820942,NA,260.9378782973259,5.276141868188639,6419.955139090137,5174.041576577862,7,0,889.0023997661642,1778.4331866820942,927.7546075374107,850.6785791446836
LPA69 - SAN JOAQUIN COUNTY,SAN JOAQUIN,CA3900810,JR SIMPLOT CO,NTNC,Private (other),1,300,1/7/19,NA,Jan-19,City of Lathrop,CA3910015,City,"TCR, Arsenic",Quality,0,1,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-121.275974,37.808651,Both,NA,NA,No,No,2,Yes,GW,NA,GW,SWP,26833,Community water system,NA,NA,NA,NA,16777 S. Howland Rd. Lathrop CA 95330,060770051192,"Block Group 2, Census Tract 51.19, San Joaquin County, California",411,234,87,87,0,13,0,13,86,130,0,13,238,175,51563,24587,96,57,43,38,53,41,96,57,69248.0364577,83645301.8895,5443.171953975092,NA,5267.953439997986,1154.3771008683295,21724.149702028706,9150.921349603315,11.267153860520114,114,5087.2089952698425,5443.171953975092,4230.544073420698,1212.6278805543946
DISTRICT 11 - MERCED,MERCED,CA2400346,LIVINGSTON FARMERS ASSOCIATION WATER SYS,NTNC,Private (other),2,30,1/11/2021,NA,Jan-21,City of livingston,CA2410004,City,ARSENIC,Quality,0,1,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-120.68941,37.4034798,Both,Changed system type to NTNC from NP and changed population from zero to 30 to match partnerships tool data compared to what was in the excel data,NA,No,No,2,Yes,GW,NA,GW,GW,14894,Community water system,1524.078599,1,NA,NA,11019 W. EUCALYPTUS AVENUE LIVINGSTON CA 95334,060470003013,"Block Group 3, Census Tract 3.01, Merced County, California",3269,780,226,121,0,13,0,13,523,290,0,13,2480,765,56047,16719,748,155,383,108,365,123,748,155,24391.562493,14713345.8154,2375.1849703983216,NA,2061.2342661991233,0,10016.512850123414,7284.097353668886,0.041945445837531965,0,630.3472027106664,2375.1849703983216,1270.8749041569858,1104.3100662413358
