Regulating_agency,County,SystemID,System_Name,System_Type,Institution_type,Connections,Population,Inactivation_Date,Activity_date_from_tool,Date_combined,Receiving_Water_System,Receiving_System_ID,Receiving_System_Institution_Type,Issue_SWRCB,Issue_summary,Issue_capacity,Issue_quality,Issue_TMF,Issue_disaster,Issue_sustainability,Funding_Source,Consolidation_Type,Physical_or_Mangerial,Mandatory_or_voluntary,Story_link,long,lat,Data_source,Notes,Notes_Suzanne,Remove?,2016_proxydata_pop_con_type_county,Consolidatedsystem_primary_source_combined,EPA_2021_source,Consolidatedsystem_primary_source_combinedFINAL,Receiving_2021_source,Receiving_2021_pop,Vetted_address,GEOID,NAME,Race.estimate.total.x,B02001_001M,Race.white.alone.x,B02001_002M,Race.black.alone.x,B02001_003M,Race.native.alone.x,B02001_004M,Race.asian.alone.x,B02001_005M,Race.PI.alone.x,B02001_006M,Race.someother.alone.x,B02001_007M,Race.twoplus.x,B02001_008M,Median.hh.income,B19013_001M,Tenure.estimate.total.x,B25003_001M,Tenure.owner.x,B25003_002M,Tenure.renter.x,B25003_003M,AC_PHONE_N,AC_EMAIL,SHAPE_Leng_receiving,SHAPE_Area_receiving,Households.total,Income.aggregatecount,Race.asian.alone.y,Race.black.alone.y,Race.estimate.total.y,Race.native.alone.y,Race.PI.alone.y,Race.someother.alone.y,Race.twoplus.y,Race.white.alone.y,Tenure.estimate.total.y,Tenure.owner.y,Tenure.renter.y
LPA82 - TEHAMA COUNTY,TEHAMA,CA5201137,MILLSTREAM MOBILE HOME PARK,C,MHP,53,80,3/17/2021,NA,Mar-21,LOS MOLINOS COMM. SERVICES DIST.,CA5210003,CSD,ARSENIC,Quality,0,1,0,0,0,SWRCB,Regionalization,Physical,Voluntary,NA,-122.1032315,40.0295933,Both,NA,NA,No,No,GW,NA,GW,GW,1450,25095 TEHAMA VINA ROAD LOS MOLINOS CA 96055,061030009002,"Block Group 2, Census Tract 9, Tehama County, California",1291,480,1006,396,0,13,7,11,0,13,0,13,51,51,227,238,25972,17412,470,133,324,93,146,88,530-384-2737,jglowden54@gmail.com,6939.69230202,918162.900227,42.11731972893787,1110404.0351094082,0.04123596337632019,0,115.78313279619086,0.621832970691604,0,4.567065099003274,20.233622166659035,90.31937659646061,42.11731972893787,28.9617097722257,13.155609956712173
DISTRICT 24 - TULARE,TULARE,CA5410033,PRATT MUTUAL WATER CO,C,MWC,279,1500,NA,May-16,May-16,CA5410015,CA5410015,City,Arsenic,Quality,0,1,0,0,0,SWRCB,Mandatory consolidation,Physical,Mandatory,HTTPS://WWW.WATERBOARDS.CA.GOV/DRINKING_WATER/CERTLIC/DRINKINGWATER/DOCUMENTS/PARTNERSHIP_SUCCESS/PRATT_MUTUAL.PDF,-119.355187,36.167302,Tool,NA,NA,No,No,GW,NA,GW,GW,65982,538 W. MATHENY TULARE CA 93274,061070031002,"Block Group 2, Census Tract 31, Tulare County, California",2148,399,1559,376,49,53,19,16,0,13,0,13,254,114,267,230,50511,8912,539,80,251,62,288,65,559-684-4286,tdoyle@ci.tulare.ca.us,116261.638821,71115692.2612,14982.69054282321,NA,1180.7352646948902,1355.1656997311009,51568.07946596257,647.390886846617,127.34855150153628,6610.357234008527,4919.851569798116,36727.23025938178,14982.69054282321,8182.301420903846,6800.389121919363
LPA80 - STANISLAUS COUNTY,STANISLAUS,CA5000077,CERES WEST MHP,C,MHP,46,161,8/21/20,NA,Aug-20,"CERES, CITY OF",CA5010028,City,"Arsenic and 1,2,3-TCP MCL Drinking Water Violations",Quality,0,1,0,0,0,Private,Mandatory consolidation,Physical,Mandatory,HTTPS://WWW.WATERBOARDS.CA.GOV/DRINKING_WATER/CERTLIC/DRINKINGWATER/DOCS/CERES_STORY_ACC.PDF,-120.9578627,37.5657347,Both,Excel data said system type of NP,NA,No,No,GW,NA,GW,GW,48706,2048 E GRAYSON ROAD CERES CA 95307,060990030021,"Block Group 1, Census Tract 30.02, Stanislaus County, California",1581,712,1039,611,0,13,0,13,45,69,0,13,262,251,235,332,67174,11031,409,164,248,124,161,112,209-538-5717,jeremy.damas@ci.ceres.ca.us,35610.219176,24440450.4274,10371.2353070879,NA,1145.1642117688968,1038.8712230207805,36077.244838285245,375.71388616428857,277.98703724750203,5862.27002135943,4496.84803193611,22880.390426788235,10371.2353070879,5845.371517550197,4525.863789537703
LPA63 - RIVERSIDE COUNTY,RIVERSIDE,CA3303100,OASIS GARDENS WATER CO.,NC,MHP,160,314,3/9/2021,NA,Mar-21,COACHELLA VWD: COVE COMMUNITY,CA3310001,County Water District,"ARSENIC, CHROMIUM 6",Quality,0,1,0,0,0,SWRCB,Regionalization,Physical,Voluntary,NA,-116.1504896,33.549898,Both,Excel data had different receiving system ID number (CA3310002) but tool has this one and based on internet research that is the correct one,NA,No,No,GW,NA,GW,GW,297500,68555 POLK ST THERMAL CA 92274,060650456192,"Block Group 2, Census Tract 456.19, Riverside County, California",2230,877,619,449,0,13,17,26,0,13,0,13,1594,823,0,13,22609,3480,772,209,622,222,150,121,760-398-2651,JBarrett@cvwd.org,448036.836693,2762250414.37,138262.87476330032,NA,11595.86278404503,8185.793246218598,343728.31546575896,2223.4107559295517,287.53278154802825,87158.74837323895,25892.806426027302,208384.1610987515,138262.87476330032,97038.41959877704,41224.4551645233
LPA80 - STANISLAUS COUNTY,STANISLAUS,CA5000308,B & H MANUFACTURING,NTNC,Private (other),1,90,3/29/17,NA,Mar-17,City of Ceres,CA5010028,City,"Arsenic, coliform",Quality,0,1,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-120.9658357,37.5349485,Both,"Coliform not listed on excel data but on tool, too lists coliform and arsenic as issues",NA,No,No,GW,NA,GW,GW,48706,3461 Roeding Rd Ceres CA 95307,060990030041,"Block Group 1, Census Tract 30.04, Stanislaus County, California",2192,1738,1349,918,0,13,29,52,29,55,0,13,310,258,475,672,NA,NA,529,302,431,317,98,63,209-538-5717,jeremy.damas@ci.ceres.ca.us,35610.219176,24440450.4274,10371.2353070879,NA,1145.1642117688968,1038.8712230207805,36077.244838285245,375.71388616428857,277.98703724750203,5862.27002135943,4496.84803193611,22880.390426788235,10371.2353070879,5845.371517550197,4525.863789537703
LPA39- El Dorado County,EL DORADO,CA0900579,MIDWAY INN,NC,Private (other),2,40,10/30/20,NA,Oct-20,South Tahoe PUD - Main,CA0910002,PUD,"Arsenic, Management issues, failure to sample, TCR",Multiple,0,1,1,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-119.9483818,38.9518667,Both,"Shows up in 2019 and 2020 excel, in 2019 lists TCR issues and in partnership tool that is also what is listed. Other issues come from 2019 sheet.",NA,No,No,GW,NA,GW,GW,121124,3876 Lake Tahoe Blvd. South Lake Tahoe CA 96150,060170316012,"Block Group 2, Census Tract 316.01, El Dorado County, California",521,250,303,204,0,13,0,13,118,117,0,13,74,116,26,41,NA,NA,254,100,8,14,246,100,530-543-6521,cstanley@stpud.dst.ca.us,129127.553572,201858011.038,11340.705530708852,NA,1421.7052078147583,194.13635552104364,27181.648762567766,60.49204723837237,38.00183606146031,1555.8865588968781,1411.2202305033563,22500.206526531896,11340.705530708852,5914.074711638347,5426.630819070504
"
DISTRICT 11 - MERCED",MADERA,CA2010007,HILLVIEW WC-OAKHURST/SIERRA LAKES,C,IOU,1032,3403,NA,Jun-20,Jun-20,CAL AM - OAKHURST,CA2010007,IOU,"ARSENIC, URANIUM",Quality,0,1,0,0,0,None,Managerial,Managerial,Voluntary,NA,-119.6491003,37.3347617,Both,NA,NA,No,No,NA,GW,GW,GW,3403,40041 CA 49 Oakhurst CA 93644,060390001032,"Block Group 2, Census Tract 1.03, Madera County, California",974,378,880,375,0,13,43,61,0,13,0,13,2,7,49,72,31765,30191,404,130,176,118,228,98,559-683-4322,jim.foster@amwater.com,21962.1945409,18791794.6321,323.1324686734543,23180811.850075245,22.086226877235077,0,856.5873541550757,3.9817323460227354,0,35.54441862110211,11.143584589790294,783.8313917209255,323.1324686734543,257.76144879275125,65.37101988070305
"
DISTRICT 11 - MERCED",MADERA,CA2010012,HILLVIEW WATER CO-RAYMOND,C,IOU,96,317,NA,Jun-20,Jun-20,CAL AM - RAYMOND,CA2010012,IOU,"ARSENIC, URANIUM",Quality,0,1,0,0,0,None,Managerial,Managerial,Voluntary,NA,-119.9060009,37.2193176,Both,NA,NA,No,No,NA,GW,GW,GW,317,32281 Front St Raymond CA 93653,060390001091,"Block Group 1, Census Tract 1.09, Madera County, California",1515,288,1357,289,0,13,5,10,26,28,5,9,20,26,102,79,44276,11191,630,118,509,125,121,52,559-683-4322,jim.foster@amwater.com,10832.2871411,2649521.20434,2.262161522417075,100159.4635665384,0.09335904695689515,0,5.439959851526775,0.01795366287632599,0.01795366287632599,0.07181465150530396,0.36625472267705017,4.872624104634873,2.262161522417075,1.8276828808099859,0.43447864160708893
District 21 - Valley,COLUSA,CA0600011,DEL ORO WATER CO.-WALNUT RANCH,C,IOU,78,182,4/6/17,NA,Apr-17,City of Colusa,CA0610002,City,Arsenic/Failing wells,Multiple,1,1,0,0,0,SWRCB,Voluntary Consolidation,Physical,Voluntary,https://www.waterboards.ca.gov/drinking_water/certlic/drinkingwater/documents/partnership_success/delorowalnut.pdf,-122.022335,39.20228,Both,NA,NA,No,No,GWP,NA,GWP,GW,6175,316 Walnut Tree Dr. Colusa CA 95932,060110002003,"Block Group 3, Census Tract 2, Colusa County, California",1251,362,1107,381,0,13,0,13,32,58,0,13,38,74,74,74,63841,7947,408,108,316,94,92,78,530-458-4941,citymanager@cityofcolusa.com,26592.8755189,7209140.51299,1531.9019451978688,NA,40.465596312111245,126.51372306586843,3887.6126193960913,9.854229712064338,0.03664116389029054,257.7818895755272,301.02682324207996,3151.9337163245496,1531.9019451978688,888.5388618587614,643.3630833391076
District 19 - Tehachapi,KERN,CA1502664,STONYBROOK CORPORATION - LA PAZ,NTNC,Private (other),36,1,1/19/18,NA,Jan-18,UP-Keene Water System,CA1500371,IOU,Bacteriological,Quality,0,1,0,0,0,private,Voluntary Consolidation,Physical,Voluntary,NA,-118.559778,35.229808,Both,NA,NA,No,No,GWP,NA,GWP,GWP,208,29700 WOODFORD ROAD KEENE CA 93531,060290060041,"Block Group 1, Census Tract 60.04, Kern County, California",732,144,650,141,0,13,0,13,22,27,0,13,25,22,35,20,56953,22543,395,102,314,100,81,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LPA56 - MONO COUNTY,MONO,CA2600633,WHITMORE POOL,NC,City,1,50,3/13/19,NA,Mar-19,Whitmore Ballfields,CA2600540,City,Bacteriological,Quality,0,1,0,0,0,SWRCB,Voluntary Consolidation,Physical,Voluntary,NA,-118.81187,37.630097,Both,NA,NA,No,No,GW,NA,GW,GW,30,904 Benton Crossing Rd. Crowley Lake CA 93546,060510001014,"Block Group 4, Census Tract 1.01, Mono County, California",1372,462,989,347,0,13,0,13,31,63,0,13,13,20,339,327,70781,50659,407,163,314,138,93,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LPA69 - SAN JOAQUIN COUNTY,SAN JOAQUIN,CA3901330,CHEROKEE FREIGHT LINES WATER SYSTEM,NC,Private (other),1,50,9/19/19,NA,Sep-19,California Water Service- Stockton,CA3910001,IOU,bacteriological,Quality,0,1,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-121.253866,37.991519,Both,NA,NA,No,No,GW,NA,GW,SWP,173272,3655 E CHEROKEE RD STOCKTON CA 95205,060770036012,"Block Group 2, Census Tract 36.01, San Joaquin County, California",1016,268,676,215,12,18,0,13,79,126,43,48,91,78,115,114,42708,27362,388,96,323,89,65,58,408-367-8314,sjames@calwater.com,100352.00064,162040975.289,51307.50251022039,NA,16082.754143695578,15344.783866591193,164219.12095614392,1239.1199661875287,493.3730672810461,24820.934790005467,22409.727510006836,83828.42761237627,51307.50251022039,21445.319469315586,29862.183040904805
DISTRICT 18 - SONOMA,SONOMA,CA4910024,GEYSERVILLE WATER WORKS,C,IOU,307,1014,NA,Nov-16,Nov-16,CALIFORNIA-AMERICAN GEYSERVILLE,CA4910024,IOU,bacteriological,Quality,0,1,0,0,0,Private,Managerial,Managerial,Voluntary,NA,-122.9045833,38.7070558,Tool,NA,NA,No,No,NA,GW,GW,GW,1014,21060 GEYSERVILLE AVENUE GEYSERVILLE CA 95441,060971541001,"Block Group 1, Census Tract 1541, Sonoma County, California",706,214,607,202,12,26,0,13,14,15,0,13,46,67,27,33,111085,22414,272,97,168,82,104,57,707-542-8329,margaret.digenova@amwater.com,8950.68921384,1725106.61329,7.473321833667028,853168.2004546465,0.3019482962095647,0.18676441884178582,19.217866285161183,0.06113198125634999,0,1.6558344840432269,0.878709801816643,16.13347730299361,7.473321833667028,4.907151160898126,2.566170672768902
LPA82 - TEHAMA COUNTY,TEHAMA,CA5200516,LAZY CORRAL MOBILE HOME PARK,C,MHP,37,103,3/15/2021,NA,Mar-21,CITY OF CORNING,CA5210001,City,BACTERIOLOGICAL,Quality,0,1,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-122.1959048,39.9212578,Both,NA,NA,No,No,GW,NA,GW,GW,7663,2120 FIG LANE CORNING CA 96021,061030011022,"Block Group 2, Census Tract 11.02, Tehama County, California",1624,685,1090,475,0,13,19,26,52,83,0,13,77,93,386,522,26353,10170,790,271,269,145,521,236,530-824-7025,rkampmann@corning.org,244639.368838,90037434.4326,745.0518675644786,32064416.726750813,22.358449990311698,15.67882373454569,1927.7064263805555,39.89329196545065,1.0084595374341787,295.4887783282047,289.42752715019753,1263.851095674411,745.0518675644786,386.8001689907071,358.2516985737714
LPA39- El Dorado County,EL DORADO,CA0900586,A & A LAKE TAHOE INN,NC,Private (other),2,25,10/16/2018,NA,Oct-18,South Tahoe PUD,CA0910002,PUD,Bacteriological,Quality,0,1,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-119.963042,38.946206,Both,NA,NA,No,No,GW,NA,GW,GW,121124,3520 LAKE TAHOE BLVD SOUTH LAKE TAHOE CA 96150,060170302013,"Block Group 3, Census Tract 302.01, El Dorado County, California",917,407,700,337,0,13,0,13,48,57,0,13,45,71,124,145,56222,7833,250,115,144,98,106,67,530-543-6521,cstanley@stpud.dst.ca.us,129127.553572,201858011.038,11340.705530708852,NA,1421.7052078147583,194.13635552104364,27181.648762567766,60.49204723837237,38.00183606146031,1555.8865588968781,1411.2202305033563,22500.206526531896,11340.705530708852,5914.074711638347,5426.630819070504
LPA61 - PLACER COUNTY,PLACER,CA3103257,LDS RECREATION BALL PARK,NC,Private (other),1,25,12/5/2018,NA,Dec-18,Placer County Water Agency,CA3110025,Special Act District,Bacteriological,Quality,0,1,0,0,0,private,Voluntary Consolidation,Physical,Voluntary,NA,-121.1672176,38.83324,Both,NA,NA,No,No,GW,NA,GW,SW,83546,8401 Boulder Creek Pl. Penryn CA 95663,060610206081,"Block Group 1, Census Tract 206.08, Placer County, California",2369,636,1750,461,99,103,54,82,3,7,0,13,3,7,460,358,206106,60179,727,183,577,190,150,91,530-823-2066,jshepard@pcwa.net,87809.3689868,272087669.418,33975.96879353895,NA,9274.423577884972,1740.338213115692,97852.33618712256,325.08442774781,132.8552512557144,2979.894276820341,7548.742381976562,75850.99805832146,33975.96879353895,24275.54942623572,9700.419367303231
LPA87 - YOLO COUNTY,YOLO,CA5700600,FAST & EASY MART #54 - WATER,NC,Private (other),1,100,11/18/19,NA,Nov-19,City of Winters,CA5710005,City,bacteriological issues,Quality,0,1,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-121.956556,38.530616,Both,NA,NA,No,No,GW,NA,GW,GW,7417,999 E GRANT AVE WINTERS CA 95694,061130113011,"Block Group 1, Census Tract 113.01, Yolo County, California",937,245,885,239,0,13,0,13,15,25,0,13,25,46,12,20,134000,92635,388,102,251,76,137,103,530-794-6760,Kristine.DeGuerre@CityofWinters.org,3387.90524288,549205.508982,195.81899333264616,19052273.13424812,6.86282880316817e-4,6.118788796316936,635.6626499653271,0,0,26.67906295674237,109.89399580815643,492.9701161212311,195.81899333264616,144.414899393277,51.40409393936916
LPA58 - NAPA COUNTY,"NAPA",CA2801045,ST. CLEMENT VINEYARDS INC.,NC,Private (other),1,100,9/16/19,NA,Sep-19,"St. Helena, City of",CA2810004,City,"bacteriological, monitoring",Multiple,0,1,1,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-122.410826,38.487184,Both,NA,NA,No,No,GW,NA,GW,SW,6152,1601 Silverado Trail ST HELENA CA 94574,060552015002,"Block Group 2, Census Tract 2015, Napa County, California",755,214,532,159,0,13,5,9,0,13,0,13,212,121,6,9,137250,69245,257,58,206,49,51,36,NA,cchurch@cityofsthelena.org,28830.8429387,21419913.7601,2829.840556717383,313452872.43323517,121.59528555321393,75.67773852573879,5960.04609873414,11.773275885480489,0,288.9438284650791,125.73079861913344,5336.325171685495,2829.840556717383,1917.5772292506645,912.2633274667188
LPA58 - NAPA COUNTY,"NAPA",CA2801045,ST. CLEMENT VINEYARDS INC.,NC,Private (other),1,100,9/16/19,NA,Sep-19,"St. Helena, City of",CA2810004,City,"bacteriological, monitoring",Multiple,0,1,1,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-122.410826,38.487184,Both,NA,NA,No,No,GW,NA,GW,SW,6152,1601 Silverado Trail ST HELENA CA 94574,060552015002,"Block Group 2, Census Tract 2015, Napa County, California",755,214,532,159,0,13,5,9,0,13,0,13,212,121,6,9,137250,69245,257,58,206,49,51,36,NA,cchurch@cityofsthelena.org,28830.8429387,21419913.7601,2829.840556717383,313452872.43323517,121.59528555321393,75.67773852573879,5960.04609873414,11.773275885480489,0,288.9438284650791,125.73079861913344,5336.325171685495,2829.840556717383,1917.5772292506645,912.2633274667188
DISTRICT 02 - LASSEN,SHASTA,CA4500001,"SHASTA CSA - KESWICK, #25",C,CSA,87,208,11/22/19,NA,Nov-19,Shasta CSD,CA4510013,CSD,Carr Fire Impacts,Disaster,0,0,0,1,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-122.3958892,40.5806173,Both,Excel data says managerial consolidaiton I'm not sure still but the systems are physically close to eachother and their website doesn't seem to indicate any separation between the two systems so leaving at physical for now,NA,No,No,SW,NA,SW,SW,1584,15611 Rock Creek Road SHASTA CA 96087,060890124001,"Block Group 1, Census Tract 124, Shasta County, California",1207,309,1113,304,3,4,6,7,15,18,2,3,2,4,66,44,42583,6844,453,84,338,85,115,52,530-241-6264,ckoeper@shastacsd.org,38567.507631,49671624.6011,374.2365916446572,35279571.08235706,97.51477336774096,15.62148269406093,1073.9020712632694,48.15133229497143,0.21023609401754556,16.51115286214179,47.2030278718649,848.6900660784718,374.2365916446572,316.10377249039914,58.132819154258115
DISTRICT 02 - LASSEN,SHASTA,CA4500001,"SHASTA CSA - KESWICK, #25",C,CSA,87,208,11/22/19,NA,Nov-19,Shasta CSD,CA4510013,CSD,Carr Fire Impacts,Disaster,0,0,0,1,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-122.3958892,40.5806173,Both,Excel data says managerial consolidaiton I'm not sure still but the systems are physically close to eachother and their website doesn't seem to indicate any separation between the two systems so leaving at physical for now,NA,No,No,SW,NA,SW,SW,1584,15611 Rock Creek Road SHASTA CA 96087,060890124001,"Block Group 1, Census Tract 124, Shasta County, California",1207,309,1113,304,3,4,6,7,15,18,2,3,2,4,66,44,42583,6844,453,84,338,85,115,52,530-241-6264,ckoeper@shastacsd.org,38567.507631,49671624.6011,374.2365916446572,35279571.08235706,97.51477336774096,15.62148269406093,1073.9020712632694,48.15133229497143,0.21023609401754556,16.51115286214179,47.2030278718649,848.6900660784718,374.2365916446572,316.10377249039914,58.132819154258115
LPA63 - RIVERSIDE COUNTY,RIVERSIDE,CA3301153,"CVUSD, WESTSIDE SCHOOL",NTNC,School,11,975,2/10/2021,NA,Feb-21,COACHELLA VWD: COVE COMMUNITY,CA3310001,County Water District,"CHROMIUM 6, COLIFORM",Quality,0,1,0,0,0,SWRCB,Regionalization,Physical,Voluntary,NA,-116.229993,33.641433,Both,Partnership tool just lists coliform,NA,No,No,GW,NA,GW,GW,297500,82225 AIRPORT BLVD THERMAL CA 92274,060650456151,"Block Group 1, Census Tract 456.15, Riverside County, California",1801,519,1070,585,0,13,0,13,0,13,0,13,706,284,25,34,67171,36479,549,108,515,107,34,39,760-398-2651,JBarrett@cvwd.org,448036.836693,2762250414.37,138262.87476330032,NA,11595.86278404503,8185.793246218598,343728.31546575896,2223.4107559295517,287.53278154802825,87158.74837323895,25892.806426027302,208384.1610987515,138262.87476330032,97038.41959877704,41224.4551645233
LPA63 - RIVERSIDE COUNTY,RIVERSIDE,CA3301276,THERMAL MUTUAL WATER COMPANY,C,MWC,36,100,2/10/2021,NA,Feb-21,COACHELLA VWD: COVE COMMUNITY,CA3310001,County Water District,"CHROMIUM 6, COLIFORM",Quality,0,1,0,0,0,SWRCB,Regionalization,Physical,Voluntary,NA,-116.2118438,33.65657888,Both,"Excel data said chromium was issue, partnerships tool said Coliform listing both here",NA,No,No,GW,NA,GW,GW,297500,83355 AVE 55 THERMAL CA 92274,060650456152,"Block Group 2, Census Tract 456.15, Riverside County, California",835,463,132,180,0,13,0,13,0,13,0,13,469,280,234,345,13974,8074,499,266,376,267,123,75,760-398-2651,JBarrett@cvwd.org,448036.836693,2762250414.37,138262.87476330032,NA,11595.86278404503,8185.793246218598,343728.31546575896,2223.4107559295517,287.53278154802825,87158.74837323895,25892.806426027302,208384.1610987515,138262.87476330032,97038.41959877704,41224.4551645233
LPA87 - YOLO COUNTY,YOLO,CA5700649,WESTUCKY WATER ASSOC,C,Private (other),15,33,6/26/19,NA,Jun-19,City of Woodland,CA5710006,City,"Chromium VI, Nitrate, Bacti",Quality,0,1,0,0,0,CDBG,Voluntary Consolidation,Physical,Voluntary,NA,-121.7852554,38.69291977,Both,bacteria not listed as an issue in partnerships tool data,NA,No,No,GW,NA,GW,GW,60978,38925 Aspen St Woodland CA 95695,061130112083,"Block Group 3, Census Tract 112.08, Yolo County, California",1499,579,1423,573,8,18,0,13,30,51,0,13,38,54,0,13,76365,3372,439,169,274,152,165,106,530-661-5963,TIM.BUSCH@CITYOFWOODLAND.ORG,48441.3169959,85306525.5243,20357.35370779293,1570500152.9106414,4717.635793573868,1027.22176599221,59350.802306968006,732,138,4605.797909951916,6685.011043297928,41445.135794152084,20357.35370779293,10688.005180693432,9669.348527099497
DISTRICT 05 - MONTEREY,SAN BENITO,CA3500526,MCCLOSKEY ROAD LLC,C,MHP,14,0,NA,Dec-18,Dec-18,"HOLLISTER, CITY OF",CA3510001,City,"CHROMIUM, NITRATE",Quality,0,1,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-121.3936202,36.8688522,Tool,NA,NA,No,No,GW,NA,GW,SWP,23358,411 MCCLOSKEY RD HOLLISTER CA 95023,060690001002,"Block Group 2, Census Tract 1, San Benito County, California",1712,420,1009,289,163,157,119,190,83,71,0,13,159,116,179,103,69345,44974,487,91,333,93,154,79,831-636-4377,michael.grzan@hollister.ca.gov,33012.7561908,27591805.3755,7078.54960319925,NA,481.8603175749808,164.2526191719643,24743.374136747665,133.8318601909944,31,3042.2842117674727,3228.8573828979775,17661.287745144273,7078.54960319925,4031.7031585832765,3046.846444615973
LPA39- El Dorado County,EL DORADO,CA0900636,TRUCKEE CREEK COTTAGES,NC,Private (other),30,6,8/9/17,NA,Aug-17,South Tahoe PUD,CA0910002,PUD,Coliform,Quality,0,1,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-119.9949282,38.9222135,Both,"Rather than Coliform as the issue the yearly excel sheet has ""none"" listed",NA,No,No,GW,NA,GW,GW,121124,2333 Eloise Ave. South Lake Tahoe CA 96150,060170304031,"Block Group 1, Census Tract 304.03, El Dorado County, California",491,184,439,171,0,13,0,13,52,68,0,13,0,13,0,13,58269,43595,266,120,229,117,37,33,530-543-6521,cstanley@stpud.dst.ca.us,129127.553572,201858011.038,11340.705530708852,NA,1421.7052078147583,194.13635552104364,27181.648762567766,60.49204723837237,38.00183606146031,1555.8865588968781,1411.2202305033563,22500.206526531896,11340.705530708852,5914.074711638347,5426.630819070504
District 23 - Fresno,FRESNO,CA1000512,YERGAT PACKING COMPANY,NTNC,Private (other),2,150,NA,June.2019,Jun-22,CITY OF FRESNO,CA1010007,City,Coliform,Quality,0,1,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-119.76196,36.6988433,Tool,NA,NA,No,No,GW,NA,GW,SW,541990,2797 S ORANGE FRESNO CA 93725,060190015001,"Block Group 1, Census Tract 15, Fresno County, California",703,323,379,181,3,4,0,13,169,218,0,13,88,59,64,103,45208,8179,169,71,119,56,50,44,559-621-5314,BUD.TICKEL@FRESNO.GOV,446458.144162,458896843.477,157502.87281071552,NA,63453.92575886591,34518.32682084753,482370.98307885823,5664.311747631592,831.779678780202,60938.9916806395,44747.082523011595,272216.5648690819,157502.87281071552,74296.02058509437,83206.85222562116
LPA49 - LA COUNTY,LOS ANGELES,CA1900912,GORMAN ELEMENTARY SCHOOL,NTNC,School,4,98,12/2/20,NA,Dec-20,GOLDEN VALLEY MUNICIPAL WATER DISTRICT,CA1900767,MWD,Coliform,Quality,0,1,0,0,0,Private,Voluntary Consolidation,Physical,Voluntary,NA,-118.854108,34.792755,Both,Yearly excel sheets said self-funded instead of private.,NA,No,No,GW,NA,GW,GW,70,49847 Gorman School Road GORMAN CA 93243,060379012091,"Block Group 1, Census Tract 9012.09, Los Angeles County, California",1418,202,961,184,53,65,18,19,38,34,0,13,300,163,48,48,72500,13112,478,69,351,74,127,43,661-248-8501,GVMWD2019@GMAIL.COM,44688.2459074,50346211.184,26.92625217778408,1954025.2441947744,2.0898568157218307,2.914069146334648,79.62589436452716,1.0059023733796808,0,16.600888552438246,2.6834419352823886,54.33173554137038,26.92625217778408,19.750443401887154,7.175808775896923
DISTRICT 13 - SAN BERNARDINO,SAN BERNARDINO,CA3610853,CYA-INACTIVATED 20160108,C,State,1,1,NA,Jan-16,Jan-16,CALIFORNIA INSTITUTION FOR MEN,CA3610850,State,Coliform,Quality,0,1,0,0,0,Other,Voluntary Consolidation,Physical,Voluntary,NA,-117.656878,33.979422,Tool,NA,NA,No,No,GWP,NA,GWP,GW,10667,"14901 Central Avenue, Chino, CA 91710",060710122021,"Block Group 1, Census Tract 122.02, San Bernardino County, California",10299,920,3501,403,1934,249,101,48,381,121,73,47,3193,428,1116,238,NA,NA,0,21,0,21,0,21,909-606-7032,Larry.Cain@cdcr.ca.gov,17496.235272,6381509.27359,45.09094608779669,NA,232.77674708202613,1075.2069303812916,5724.369296785743,55.5172725253546,39.35667507716418,1740.1370641591727,630.6842504515242,1950.6903571092093,45.09094608779669,9.205919200427543,35.88502688736914
District 11 - Merced,MERCED,CA2410008,"MEADOWBROOK WATER COMPANY OF MERCED, INC",C,Private (other),1713,5650,NA,Sep.2019,Sep-19,CAL AM - MEADOWBROOK,CA2410008,Private (other),Coliforn,Quality,0,1,0,0,0,None,Managerial,Managerial,Voluntary,NA,-120.5265213,37.3210238,Tool,NA,NA,No,No,NA,GW,GW,GW,5650,2272 MEADOWBROOK AVENUEMERCED CA 95340,060470009031,"Block Group 1, Census Tract 9.03, Merced County, California",3751,779,1621,589,51,53,0,13,1484,519,0,13,386,273,209,123,53356,13018,857,260,611,263,246,123,916-568-4278,audie.foster@amwater.com,33396.7417496,44207289.3072,2833.176265852618,180113443.4890383,2294.3111015453137,197.7215540067851,10209.258345920536,24.51616735338121,0,1695.4176047129747,886.7499013580765,5110.542016944005,2833.176265852618,1960.8369728461605,872.3392930064576
